,long,short
2015-01-01,"{'COV': 0.0, 'NBR': -0.10217486498321422, 'GAS': 0.09219858156028368, 'CHK': -0.007477642551508026, 'KR': 0.07724137931034478, 'WYNN': -0.004346499923745564, 'HAR': 0.02105211038741824, 'HAS': -0.001871101871101942, 'DNR': -0.14391177307165207, 'LEG': -0.0002808199943835442, 'AKAM': -0.08380592312539384, 'PNC': -0.07434384026120812, 'LM': 0.0279193441169953, 'TFC': -0.09570252971654984, 'YUM': -0.008145766345123161}","{'NE': 0.013380128709913971, 'SWN': 0.08490217792543377, 'TT': -4.333333333333334}"
2015-02-01,"{'COV': 0.0, 'NBR': 0.09956631731116727, 'GNW': 0.10398860398860406, 'DNR': 0.18805432778151793, 'HAR': -0.02061805678010932, 'RF': 0.09466666666666677, 'AVP': 0.10540540540540531, 'TT': -0.75, 'PRGO': 0.017877017250973997, 'GAS': 0.01935483870967742, 'JPM': 0.12372448979591838, 'RL': -0.17442331040064743, 'AMZN': 0.08601628338808745, 'IPG': 0.12123039806996391, 'NVDA': 0.14615797958087046}","{'MUR': -0.10921870775885371, 'PRU': -0.06614223791940918, 'TIF': -0.018487394957983284}"
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'NBR': 0.07046471286405558, 'CHK': -0.1510792017706267, 'HPQ': -0.09567901234567902, 'GPC': -0.024593172641624923, 'XEC': 0.049269550272128294, 'FOSL': -0.03758608614450798, 'NRG': 0.050337078651685435, 'APA': -0.07838726423256621, 'MKC': 0.022973368451858253, 'AVB': 0.041996220340169386, 'UNP': -0.0993619816100582, 'DO': -0.12536890255010616, 'DLTR': 0.020754716981132147}","{'DIS': -0.005140859551717046, 'PBCT': -0.0032894736842104563, 'BKNG': 0.05946273480105022}"
2015-04-01,"{'TT': -0.8125, 'COV': 0.0, 'CHK': 0.09781863367873672, 'POM': -0.028169192025537096, 'NBR': 0.2154344105336293, 'ABBV': 0.11481081081081086, 'FMC': 0.03480530780944097, 'MNST': -0.011678200692041504, 'GAS': 0.0, 'DNR': 0.1970052724077329, 'C': 0.037828595853814984, 'CVS': -0.029408500721340648, 'FOSL': 0.020165208940719277, 'GNW': 0.20741758241758226, 'WYNN': -0.11931666518373518}","{'PBCT': -0.010708401976935667, 'HOT': -0.003205128205128205, 'BKNG': -0.06341065292096215}"
2015-05-01,"{'TT': 0.0, 'POM': 0.10144993478326803, 'AMAT': 0.014762165117550552, 'RCL': 0.12244224422442235, 'BLK': -0.002034237786749217, 'PVH': 0.006688639007367175, 'FIS': 0.0, 'CHRW': -0.046075683251576655, 'BIIB': 0.051573426573426645, 'EW': 0.028315243039169317, 'GLW': 0.0010893246187363603, 'NBL': -0.13444658531363735, 'TEL': 0.03564257028112454, 'CMG': -0.021368608496565845, 'BBBY': 0.0111147433801896}","{'HBAN': -0.015384615384615448, 'AMZN': -0.012764853003633678, 'BKNG': 0.061729976383941176}"
2015-06-01,"{'AVP': -0.07044410413476263, 'NBR': -0.017679837092929716, 'DNR': -0.13351260690572886, 'FCX': -0.05733824302998421, 'BLK': -0.04913204236385288, 'FTR': -0.04624376796395898, 'CPRI': -0.10408684546615568, 'CNX': -0.21818181818181828, 'APA': -0.03769317753486619, 'MRO': -0.025386751289170985, 'NWSA': -0.039857651245551635, 'TDC': -0.05006418485237491, 'SWN': -0.11453058044409821, 'QEP': -0.020640103092225293, 'ANTM': -0.02485781839095159}","{'REGN': 0.01344086021505385, 'JNPR': 0.04950900163666124, 'COV': -0.0}"
2015-07-01,"{'BLK': -0.03908922114726864, 'POM': -0.014705947015499687, 'AVP': -0.10147299509001638, 'CHK': -0.22678571428571428, 'NBR': -0.19263392137259325, 'DNR': -0.37953631454985337, 'MU': -0.02834645669291334, 'CNX': -0.23692992213570632, 'BIIB': -0.21928879310344834, 'JPM': 0.005878401074907649, 'CI': -0.12048413717219883, 'NWSA': 0.0, 'JNPR': 0.0798640611724725, 'AVGO': -0.06894803548795941, 'SHW': 0.005785407071898838}","{'HES': 0.11801549365419488, 'EMC': -0.08046023813120214, 'TT': 0.5714285714285715}"
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'NBR': 0.013172092265722078, 'CHK': -0.08761682242990654, 'BIIB': -0.07189460868479372, 'FCX': -0.08629893238434169, 'POM': 0.029848648142074042, 'NE': 0.10714285714285714, 'RIG': 0.09452277115013355, 'QEP': 0.027052482863272352, 'CNX': -0.06911764705882349, 'HOT': 0.016, 'FB': -0.043836202288035864, 'BLK': -0.09525905858449032, 'CI': -0.0234044030835475}","{'GOOG': 0.011337832219272766, 'AMZN': 0.045697274165038715, 'CMG': 0.04500517842011115}"
2015-09-01,"{'BIIB': -0.0014030524946958625, 'NBR': -0.14076652130157663, 'POM': -0.014490681157347847, 'CHK': -0.034255599472990776, 'DNR': -0.41486810551558756, 'HAR': 0.0, 'COV': 0.0, 'WAT': -0.007556040634707461, 'GAS': -0.084, 'GS': -0.05684951598709298, 'FB': 0.035118019573978254, 'LEG': -0.0463791700569569, 'AMG': -0.06168996547625789, 'CVS': -0.04138086135162495, 'FDX': -0.025418298326806647}","{'BKNG': -0.016193566939161, 'AMCR': -0.02119205298013247, 'TT': 0.8125}"
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'NBR': 0.038272605875620015, 'POM': 0.0, 'AVP': 0.23510971786833856, 'BIIB': -0.005068666735162225, 'CHK': -0.01925722145804677, 'CNX': -0.3284848484848485, 'VRTX': 0.20872093023255806, 'GAS': 0.021834061135371178, 'ROP': 0.18427759262889623, 'SPGI': 0.07171606293450433, 'MAS': 0.14799331103678925, 'ISRG': 0.07956694710754574, 'NLSN': 0.06981132075471688}","{'DO': -0.1231616916129398, 'MRO': -0.16418918918918915, 'AMCR': -0.0038910505836576197}"
