,long,short
2015-01-01,"{'COV': 0.0, 'EMC': -0.0327865167276427, 'HAR': 0.02105211038741824, 'GAS': 0.09219858156028368, 'PSA': 0.08360655737704918, 'ROP': -0.013141385458627808, 'NAVI': -0.0910186859553948, 'LM': 0.0279193441169953, 'CTSH': 0.02340676632572773, 'ABBV': -0.070677570093458, 'KR': 0.07724137931034478, 'MDLZ': -0.03251291400790024, 'CINF': -0.028734321550741116, 'VRSN': -0.04805172112528394, 'CSX': -0.0778863775198534, 'PNC': -0.07434384026120812, 'FITB': -0.1523972602739726, 'AVB': 0.05446576129913065, 'BMY': 0.013986013986014102, 'RSG': -0.014610845743186374}",{}
2015-02-01,"{'COV': 0.0, 'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'NBR': 0.09956631731116727, 'MU': 0.04854700854700861, 'DISCA': 0.10768175582990387, 'BLK': 0.08482458800930125, 'EMC': 0.015872843127118823, 'NBL': -0.027522935779816446, 'HAR': -0.02061805678010932, 'GWW': 0.018150388936905796, 'VAR': 0.009534422981674047, 'EIX': -0.055545790121286756, 'PRGO': 0.017877017250973997, 'TJX': 0.04674796747967477, 'TFC': 0.07908847184986605, 'LEN': 0.1155176389209132, 'BBBY': -0.0036923076923076137, 'GL': 0.06389642931718527, 'BAC': 0.03537906137184117}",{}
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'GPC': -0.024593172641624923, 'EMC': 0.015872843127118823, 'STX': -0.1499227202472952, 'AIZ': 0.002201834862385274, 'DUK': -0.021696891191709786, 'PVH': 0.004561436852608475, 'WFC': -0.0072005236744490135, 'UNP': -0.0993619816100582, 'MKC': 0.022973368451858253, 'THC': 0.07141311404457903, 'DTE': -0.006122144243691154, 'FOSL': -0.03758608614450798, 'PNW': -0.002813731007315807, 'CHK': -0.1510792017706267, 'MTB': 0.049612258245351794, 'HPQ': -0.09567901234567902, 'CA': 0.002751977984176068, 'NRG': 0.050337078651685435}",{}
2015-04-01,"{'TT': -0.8125, 'POM': -0.028169192025537096, 'NFLX': 0.33299798792756535, 'EMN': 0.10516542876434835, 'PM': 0.1089941640920014, 'DNR': 0.1970052724077329, 'NEM': 0.21332670313276972, 'GNW': 0.20741758241758226, 'MAT': 0.2328148519819368, 'ADSK': -0.014736477115117916, 'FMC': 0.03480530780944097, 'FOSL': 0.020165208940719277, 'COV': 0.0, 'EXPE': 0.00447828034034937, 'OI': 0.024486226497595045, 'NTAP': 0.028580603725112414, 'HES': 0.12283820914821403, 'HPQ': 0.0350584307178631, 'CTL': 0.0420009438414345, 'NDAQ': -0.039694656488549626}",{}
2015-05-01,"{'POM': 0.10144993478326803, 'RCL': 0.12244224422442235, 'BIIB': 0.051573426573426645, 'FIS': 0.0, 'CHRW': -0.046075683251576655, 'IFF': 0.03084462381089659, 'AMAT': 0.014762165117550552, 'JWN': -0.03211776513884245, 'EW': 0.028315243039169317, 'MSI': -0.01863124884707615, 'TEL': 0.03564257028112454, 'DHI': 0.0254590984974958, 'CTSH': 0.10340546293011703, 'QCOM': 0.019992922859164815, 'WELL': -0.01619870410367181, 'BBBY': 0.0111147433801896, 'IP': -0.03174603174603164, 'ZTS': 0.11270539227030774, 'ITW': -0.0025134649910232647, 'PHM': -0.010614525139664679}",{}
2015-06-01,"{'AVP': -0.07044410413476263, 'NBR': -0.017679837092929716, 'DNR': -0.13351260690572886, 'QEP': -0.020640103092225293, 'CNX': -0.21818181818181828, 'FCX': -0.05733824302998421, 'BIIB': 0.012710908315992663, 'WHR': -0.06273525721455457, 'GNW': -0.041772151898734185, 'HES': -0.0008238589553467978, 'HOT': 0.02962962962962963, 'POM': -0.055553825230219823, 'CTL': -0.1162005785920926, 'MRO': -0.025386751289170985, 'CSX': -0.04626675175494573, 'PPL': -0.07799999999999997, 'FTR': -0.04624376796395898, 'COP': -0.047231558464532135, 'YUM': 0.002415875754961183, 'CHK': -0.2083628632175762}",{}
2015-07-01,"{'CHK': -0.22678571428571428, 'NEM': -0.26166044776119407, 'NBR': -0.19263392137259325, 'DNR': -0.37953631454985337, 'NE': -0.19671525468626927, 'CSCO': 0.036502546689304034, 'SWN': -0.18169819621645397, 'IRM': -0.029130632680928567, 'AVP': -0.10147299509001638, 'MU': -0.02834645669291334, 'POM': -0.014705947015499687, 'PPL': 0.07241379310344827, 'DO': -0.14691081088513408, 'AMAT': -0.10207515423443617, 'GNW': -0.08604954367666234, 'NRG': -0.017249417249417295, 'JNPR': 0.0798640611724725, 'CNX': -0.23692992213570632, 'AVGO': -0.06894803548795941, 'EBAY': 0.09569377990430632}",{}
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'NBR': 0.013172092265722078, 'BIIB': -0.07189460868479372, 'FB': -0.043836202288035864, 'POM': 0.029848648142074042, 'MON': -0.0397285868816992, 'CI': -0.0234044030835475, 'TDC': -0.211916958748989, 'ORCL': -0.0716603569497025, 'HUM': 0.0015858631626642565, 'CHK': -0.08761682242990654, 'GIS': -0.026251025430680912, 'HAL': -0.042830035239902364, 'CPRI': 0.04975845410628025, 'COV': 0.0, 'XYL': -0.055452292441140104, 'REGN': -0.08052357333428836, 'FDX': -0.12160501413297296, 'ROK': -0.03925501432664756}",{}
2015-09-01,"{'POM': -0.014490681157347847, 'DNR': -0.41486810551558756, 'COV': 0.0, 'HAR': 0.0, 'BIIB': -0.0014030524946958625, 'FB': 0.035118019573978254, 'REGN': -0.06839712391596073, 'FFIV': -0.024924216908049916, 'WAT': -0.007556040634707461, 'LH': -0.0624891961970614, 'TMO': -0.004630395237307775, 'WYNN': -0.27127172918572734, 'NBR': -0.14076652130157663, 'BDX': -0.037936384794414274, 'CA': 0.023907666941467363, 'AON': -0.03095403095403087, 'AGN': -0.09103140601210911, 'CVS': -0.04138086135162495, 'HBAN': -0.0033594624860021683, 'MET': -0.02709427702515908}",{}
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'REGN': 0.20124566280899117, 'AMZN': 0.22485322896281795, 'NBR': 0.038272605875620015, 'GOOG': 0.16838437135295944, 'COV': 0.0, 'VRTX': 0.20872093023255806, 'SPGI': 0.07171606293450433, 'ISRG': 0.07956694710754574, 'AVP': 0.23510971786833856, 'HAL': 0.06989748369058714, 'HAR': 0.04838765298416105, 'FB': 0.13237090505274848, 'IFF': 0.1152180800506917, 'GD': 0.08195404145910336, 'SRCL': -0.13356653340948035, 'EFX': 0.09599477579451467, 'PRGO': -0.008082146406094726, 'PBI': 0.03820828164999607}",{}
