,long,short
2015-01-01,"{'HAR': 0.02105211038741824, 'COV': 0.0, 'GAS': 0.09219858156028368, 'ROP': -0.013158764795344712, 'PSA': 0.08360655737704918, 'CTSH': 0.02340676632572773, 'LM': 0.0279193441169953, 'KR': 0.07724137931034478, 'CSX': -0.0778863775198534, 'VRSN': -0.04805172112528394, 'MDLZ': -0.032701711491442555, 'ABBV': -0.070677570093458, 'NAVI': -0.0910186859553948, 'AVB': 0.0543896594292352, 'EMR': -0.07925043919578363, 'TXN': 0.0041027855754696115, 'FITB': -0.15228720324261721, 'KLAC': -0.12958395000822237, 'FFIV': -0.15259641664136042, 'CINF': -0.028734321550741116}",{}
2015-02-01,"{'EMC': 0.015872843127118823, 'COV': 0.0, 'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'NBR': 0.09956631731116727, 'MU': 0.04854700854700861, 'BLK': 0.08482458800930125, 'GWW': 0.018150388936905796, 'HAR': -0.02061805678010932, 'DISCA': 0.10768175582990387, 'VAR': 0.009534422981674047, 'NBL': -0.027522935779816446, 'HST': -0.0835164835164835, 'EXC': -0.04947117024906173, 'LEN': 0.1155176389209132, 'AGN': 0.08599052880820833, 'TJX': 0.04674796747967477, 'INTU': 0.11567164179104478, 'WBA': 0.14205607476635498, 'PCG': -0.08697268165768443}",{}
2015-03-01,"{'TT': -0.8125, 'CHK': -0.1510792017706267, 'GPC': -0.024593172641624923, 'DUK': -0.021696891191709786, 'EMC': 0.015872843127118823, 'STX': -0.15004472271914135, 'COV': 0.0, 'WFC': -0.0072005236744490135, 'AIZ': 0.002201834862385274, 'UNP': -0.0993619816100582, 'THC': 0.07141311404457903, 'DISCK': -0.03691604050963734, 'HPQ': -0.09567901234567902, 'VTR': -0.012832550860719879, 'PNW': -0.002813731007315807, 'NRG': 0.050337078651685435, 'ISRG': 0.008084316426133267, 'FOSL': -0.03758608614450798, 'XEL': -0.0033795201081446916, 'PBI': 0.00517237411396484}",{}
2015-04-01,"{'TT': -0.8125, 'POM': -0.028169192025537096, 'NFLX': 0.33299798792756535, 'DNR': 0.1970052724077329, 'GNW': 0.20741758241758226, 'EMN': 0.10516542876434835, 'CHK': 0.09781863367873672, 'MAT': 0.2328148519819368, 'NEM': 0.21332670313276972, 'OI': 0.024486226497595045, 'COV': 0.0, 'ADSK': -0.014736477115117916, 'FOSL': 0.020165208940719277, 'BSX': 0.003943661971831002, 'FMC': 0.034965034965034995, 'NTAP': 0.028580603725112414, 'RTX': -0.030961182994454793, 'AET': 0.004288917048445245, 'HPQ': 0.0350584307178631, 'PM': 0.10880557977332174}",{}
2015-05-01,"{'POM': 0.10144993478326803, 'RCL': 0.12244224422442235, 'AMAT': 0.014762165117550552, 'CHRW': -0.046075683251576655, 'BIIB': 0.051573426573426645, 'MSI': -0.01863124884707615, 'EW': 0.028315243039169317, 'JWN': -0.03211776513884245, 'FIS': 0.0, 'VTR': -0.03411764705882355, 'TEL': 0.03564257028112454, 'XRX': -0.011342155009451823, 'GIS': 0.011499240616185593, 'DHI': 0.0254590984974958, 'GLW': 0.0010893246187363603, 'EMC': 0.029852146342545093, 'IFF': 0.030839133797370435, 'MNST': -0.07256830601092897, 'VLO': 0.0455130957492487, 'CTSH': 0.10340546293011703}",{}
2015-06-01,"{'AVP': -0.07044410413476263, 'NBR': -0.017679837092929716, 'DNR': -0.13351260690572886, 'QEP': -0.020640103092225293, 'BIIB': 0.012710908315992663, 'FCX': -0.05733824302998421, 'CNX': -0.21818181818181828, 'GNW': -0.041772151898734185, 'HES': -0.0008238589553467978, 'NWSA': -0.039857651245551635, 'SYK': -0.00784790538299982, 'WHR': -0.06273525721455457, 'POM': -0.055553825230219823, 'CHK': -0.2083628632175762, 'CTL': -0.1162005785920926, 'MCO': -0.0037350108118733585, 'CSX': -0.04626675175494573, 'FTR': -0.04624376796395898, 'HOT': 0.02962962962962963, 'TT': 0.0}",{}
2015-07-01,"{'NBR': -0.19263392137259325, 'CHK': -0.22678571428571428, 'NEM': -0.26166044776119407, 'AVP': -0.10147299509001638, 'CSCO': 0.03637141634574231, 'SWN': -0.18169819621645397, 'POM': -0.014705947015499687, 'DNR': -0.37953631454985337, 'NE': -0.19671525468626927, 'IRM': -0.029130632680928567, 'MU': -0.02834645669291334, 'PPL': 0.07241379310344827, 'AMAT': -0.10207515423443617, 'NRG': -0.017249417249417295, 'GNW': -0.08604954367666234, 'NWSA': 0.0, 'JNPR': 0.0798640611724725, 'COV': 0.0, 'MON': -0.04597378277153555, 'HUM': -0.05094166531757594}",{}
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'NBR': 0.013172092265722078, 'MON': -0.0397285868816992, 'BIIB': -0.07189460868479372, 'POM': 0.029848648142074042, 'FB': -0.043836202288035864, 'COV': 0.0, 'HUM': 0.0015885623510722862, 'LIN': -0.07318030213851279, 'CPRI': 0.04975845410628025, 'GILD': -0.11338090118268017, 'REGN': -0.08052357333428836, 'HAL': -0.042830035239902364, 'CI': -0.0234044030835475, 'URI': 0.04318386999699075, 'ORCL': -0.0716603569497025, 'MSFT': -0.06749764816556925, 'GIS': -0.026251025430680912, 'TDC': -0.211916958748989}",{}
2015-09-01,"{'POM': -0.014490681157347847, 'DNR': -0.41486810551558756, 'HAR': 0.0, 'FB': 0.035118019573978254, 'MNK': -0.24142840194566387, 'LH': -0.0624891961970614, 'COV': 0.0, 'WAT': -0.007556040634707461, 'AON': -0.03095403095403087, 'WYNN': -0.27127172918572734, 'REGN': -0.06839712391596073, 'TMO': -0.004630395237307775, 'NBR': -0.14076652130157663, 'FFIV': -0.024924216908049916, 'AGN': -0.09103140601210911, 'AMZN': 0.02554393556917899, 'PWR': 0.02739726027397263, 'BDX': -0.037936384794414274, 'CVS': -0.04138086135162495, 'AVB': 0.07965748003166147}",{}
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'COV': 0.0, 'REGN': 0.20124566280899117, 'AMZN': 0.22485322896281795, 'NBR': 0.038272605875620015, 'GOOG': 0.16838437135295944, 'VRTX': 0.20872093023255806, 'AVP': 0.23510971786833856, 'HAL': 0.06989748369058714, 'ISRG': 0.07956694710754574, 'GD': 0.08199773352760224, 'SWK': 0.09322033898305085, 'GOOGL': 0.1558924036743266, 'EFX': 0.09599477579451467, 'SPGI': 0.07171606293450433, 'FB': 0.13237090505274848, 'SRCL': -0.13356653340948035, 'IFF': 0.11518435872914679, 'PRGO': -0.008082146406094726}",{}
