,long,short
2015-01-01,"{'EMC': -0.0327865167276427, 'HAR': 0.02105211038741824, 'BMY': 0.014092777451556054, 'VRSN': -0.04805172112528394, 'COV': 0.0, 'GAS': 0.09219858156028368, 'AVB': 0.0543896594292352, 'CSX': -0.0778863775198534, 'DNR': -0.14391177307165207, 'KR': 0.07724137931034478, 'MNST': 0.06882369070468873, 'ADBE': -0.03535075653370024, 'FITB': -0.15228720324261721, 'NAVI': -0.0910186859553948, 'PLD': 0.04228445908841293, 'NOC': 0.05841620626151018, 'FFIV': -0.15259641664136042, 'BWA': -0.02222222222222227, 'EMR': -0.07925043919578363, 'LRCX': -0.042916093535075715, 'WYNN': -0.004346499923745564, 'GL': -0.0815071126489812, 'ABBV': -0.070677570093458, 'NEM': 0.3484848484848485, 'KMI': -0.019133034379671166, 'IPG': -0.04395604395604384, 'AIZ': -0.07301796604582166, 'MHK': 0.05349163794204006, 'SRCL': -0.0016728765873317533, 'PNW': 0.031916769529183604}",{}
2015-02-01,"{'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'BLK': 0.08482458800930125, 'HAR': -0.02061805678010932, 'MU': 0.04854700854700861, 'EMC': 0.015872843127118823, 'TFC': 0.07908847184986605, 'GWW': 0.018150388936905796, 'AVP': 0.10540540540540531, 'RF': 0.09466666666666677, 'BAC': 0.03537906137184117, 'CSX': 0.029993408042188533, 'VAR': 0.009534422981674047, 'ROP': 0.08257616247995714, 'PRGO': 0.017877017250973997, 'AGN': 0.08599052880820833, 'DISCA': 0.10768175582990387, 'EIX': -0.055654338549075436, 'HPQ': -0.03928836174944399, 'XRX': 0.0362126245847176, 'NBR': 0.09956631731116727, 'MS': 0.05389221556886231, 'HST': -0.0835164835164835, 'MCO': 0.07195179584120986, 'AVB': -0.026188835286009533, 'EXC': -0.04947117024906173, 'VRTX': 0.08267609464237154, 'FFIV': 0.07099465046695075, 'TGNA': 0.13763440860215054, 'KO': 0.050581395348837266}",{}
2015-03-01,"{'TT': -0.8125, 'CHK': -0.1510792017706267, 'NRG': 0.050337078651685435, 'HPQ': -0.09567901234567902, 'FOSL': -0.03758608614450798, 'DUK': -0.021696891191709786, 'COP': -0.045100813583303805, 'GPC': -0.024593172641624923, 'UNP': -0.0993619816100582, 'STX': -0.15004472271914135, 'AEE': 0.007607776838545957, 'WEC': -0.025322503583373204, 'EQT': 0.03599336964243437, 'DVN': -0.016643059490084947, 'NBL': 0.035434882650713276, 'XEL': -0.0033795201081446916, 'AIZ': 0.002201834862385274, 'MAC': 0.009842519685039392, 'IPG': -0.007000538502961713, 'BLK': -0.00922646784715741, 'DTE': -0.006122144243691154, 'OXY': -0.053685627734769516, 'VTR': -0.012832550860719879, 'CPRI': -0.025348354580492054, 'SRCL': 0.03737903523675853, 'PNW': -0.002813731007315807, 'TWX': 0.03417023882424975, 'WFC': -0.0072005236744490135, 'THC': 0.07141311404457903, 'CTL': -0.07899305555555557}",{}
2015-04-01,"{'TT': -0.8125, 'NFLX': 0.33299798792756535, 'POM': -0.028169192025537096, 'CHK': 0.09781863367873672, 'ADSK': -0.014736477115117916, 'DNR': 0.1970052724077329, 'MYL': 0.2364818617385354, 'HPQ': 0.0350584307178631, 'CTL': 0.0420009438414345, 'FCX': 0.22204037097654122, 'EMN': 0.10516542876434835, 'BLK': -0.0015734650848097682, 'WDC': 0.07920923444341248, 'GNW': 0.20741758241758226, 'FMC': 0.034965034965034995, 'LRCX': 0.07065217391304343, 'MAC': 0.022089041095890397, 'EMC': 0.08064426947405658, 'RTX': -0.030961182994454793, 'MAT': 0.2328148519819368, 'MON': -0.00610500610500613, 'AEP': 0.011531069827033934, 'AAPL': 0.002618715083798858, 'NEM': 0.21332670313276972, 'AMT': -0.01376199838094134, 'NWSA': -0.015519568151147127, 'IFF': -0.020020974354085178, 'STX': 0.13861125723303513, 'AET': 0.004288917048445245, 'VRTX': 0.04838846840717746}",{}
2015-05-01,"{'POM': 0.10144993478326803, 'PHM': -0.010614525139664679, 'AMAT': 0.014762165117550552, 'BIIB': 0.051573426573426645, 'VTR': -0.03411764705882355, 'RCL': 0.12244224422442235, 'CHRW': -0.046075683251576655, 'EW': 0.028315243039169317, 'NFX': -0.03422733077905482, 'MSI': -0.01863124884707615, 'FIS': 0.0, 'GLW': 0.0010893246187363603, 'WM': 0.00159271899886235, 'LEN': 0.019959174415967236, 'JWN': -0.03211776513884245, 'DHI': 0.0254590984974958, 'HSY': 0.011567807039133616, 'BBY': -0.0016644474034620744, 'XRX': -0.011342155009451823, 'TEL': 0.03564257028112454, 'VLO': 0.0455130957492487, 'KIM': -0.007874015748031527, 'MNST': -0.07256830601092897, 'BLK': -0.002034237786749217, 'ZTS': 0.11270539227030774, 'ITW': -0.00252951096121409, 'FSLR': -0.13547826086956521, 'MDT': 0.031202665858830695, 'CAH': 0.04298960382129795, 'AN': 0.011507293354943172}",{}
2015-06-01,"{'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'BIIB': 0.012710908315992663, 'FTR': -0.04624376796395898, 'FCX': -0.05733824302998421, 'CNX': -0.21818181818181828, 'QEP': -0.020640103092225293, 'URBN': 0.010976314269208625, 'NFX': -0.04646251319957775, 'NWSA': -0.039857651245551635, 'PXD': -0.0625520110957003, 'NBR': -0.017679837092929716, 'HES': -0.0008238589553467978, 'ROST': 0.006730351715154042, 'LUV': -0.108314479638009, 'GNW': -0.041772151898734185, 'CTL': -0.1162005785920926, 'MRO': -0.025386751289170985, 'OI': -0.04462388440288995, 'DGX': -0.04380642296877304, 'NOV': -0.008346145398638316, 'F': -0.02104377104377104, 'HOT': 0.02962962962962963, 'LEN': 0.08893805309734504, 'NRG': -0.09071550255536623, 'MCO': -0.0037350108118733585, 'EXPE': 0.01796173369777434, 'CTXS': 0.07142857142857144, 'HOG': 0.04966090570991022, 'COP': -0.047231558464532135}",{}
2015-07-01,"{'AVP': -0.10147299509001638, 'DNR': -0.37953631454985337, 'NEM': -0.26166044776119407, 'MU': -0.02834645669291334, 'SWN': -0.18169819621645397, 'CHK': -0.22678571428571428, 'CSCO': 0.03637141634574231, 'CNX': -0.23692992213570632, 'IRM': -0.029130632680928567, 'NRG': -0.017249417249417295, 'PPL': 0.07241379310344827, 'NWSA': 0.0, 'LUV': 0.06912585244885319, 'RIG': -0.170731861597824, 'NE': -0.19671525468626927, 'DO': -0.14691081088513408, 'HPQ': 0.006932409012131722, 'XRX': 0.029292107404393915, 'MAT': -0.10535481062255107, 'MNK': 0.03810401138933085, 'DAL': 0.06228465412138886, 'AVGO': -0.06897140418267189, 'PXD': -0.07976465331049383, 'OI': -0.07637969094922724, 'NBR': -0.19263392137259325, 'HRB': 0.11300813008130071, 'VZ': 0.015037593984962275, 'FCX': -0.3657718120805369, 'AMAT': -0.10207515423443617, 'NOV': -0.1269665411034789}",{}
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'NBR': 0.013172092265722078, 'BIIB': -0.07189460868479372, 'CHK': -0.08761682242990654, 'FCX': -0.08629893238434169, 'NE': 0.10714285714285714, 'POM': 0.029848648142074042, 'HUM': 0.0015885623510722862, 'XYL': -0.055452292441140104, 'MON': -0.0397285868816992, 'HAR': -0.1285713413032456, 'SEE': -0.035721493440968644, 'TGNA': -0.19064966605950207, 'FB': -0.043836202288035864, 'PRGO': -0.04670947911520935, 'HAS': -0.05267690541122436, 'GIS': -0.026251025430680912, 'ADS': -0.06568980029076436, 'PGR': -0.017430845017051947, 'BEN': -0.10729729729729727, 'ESRX': -0.07172995780590725, 'PXD': -0.01849275836674569, 'NAVI': -0.18938775510204084, 'THC': -0.12743707904998236, 'WFC': -0.07566462167689153, 'ORCL': -0.0716603569497025, 'ROK': -0.03925501432664756, 'LIN': -0.07318030213851279, 'HAL': -0.042830035239902364}",{}
2015-09-01,"{'HAR': 0.0, 'POM': -0.014490681157347847, 'DNR': -0.41486810551558756, 'BDX': -0.037936384794414274, 'UHS': -0.07366593705185301, 'NBR': -0.14076652130157663, 'WYNN': -0.27127172918572734, 'NAVI': -0.09053497942386839, 'GS': -0.05684951598709298, 'BIIB': -0.0014030524946958625, 'WAT': -0.007556040634707461, 'VRTX': -0.16063512533247357, 'AVB': 0.07965748003166147, 'AMZN': 0.02554393556917899, 'LH': -0.0624891961970614, 'PRGO': -0.13188346804675238, 'ALXN': -0.07252994899774652, 'REGN': -0.06839712391596073, 'ANTM': 0.015378640776698949, 'AMG': -0.06168996547625789, 'WM': 0.01769911504424781, 'AES': -0.16889804325437696, 'XRX': -0.016688625384277515, 'BA': 0.021700776287932197, 'SRE': 0.041448842419716185, 'AMGN': -0.07306075659151691, 'PNW': 0.08670520231213875, 'PSA': 0.07037103638434322, 'NEE': 0.002367424242424276, 'FFIV': -0.024924216908049916}",{}
2015-10-01,"{'TT': 4.333333333333334, 'COV': 0.0, 'DNR': 0.39920948616600804, 'REGN': 0.20124566280899117, 'SHW': 0.197834784655213, 'BDX': 0.07573677836092044, 'NBR': 0.038272605875620015, 'GOOGL': 0.1558924036743266, 'SNA': 0.09783005771900333, 'AMZN': 0.22485322896281795, 'SRCL': -0.13356653340948035, 'EFX': 0.09599477579451467, 'CNX': -0.3284848484848485, 'VRTX': 0.20872093023255806, 'IFF': 0.11518435872914679, 'ROK': 0.07629069385070693, 'MCO': -0.019170367161269318, 'ISRG': 0.07956694710754574, 'HAL': 0.06989748369058714, 'CPRI': -0.0845771144278607, 'OKE': 0.06311475409836077, 'SPGI': 0.07171606293450433, 'POM': 0.0, 'ZBH': 0.11449789403679891, 'WHR': 0.08780716857098136, 'SLB': 0.1147402267727196, 'FIS': 0.07621138466363482, 'FTR': 0.07531276032230462, 'DHI': 0.0003603603603604167, 'IVZ': 0.06061855670103088}",{}
