,Portfolio,S&P
tickers,"['APTV', 'CVX', 'LUV', 'SBUX', 'NBR', 'UAA', 'COP', 'HRB', 'CTSH', 'ADS', 'NWL', 'MCO', 'MAT', 'GOOGL', 'INTC', 'DISCK', 'HES', 'SRCL', 'IPG', 'TSCO', 'UHS', 'NOV', 'TGNA', 'XOM', 'TROW', 'WEC', 'HP', 'BA', 'MU', 'SLB', 'ECL', 'CMA', 'EOG', 'WMT', 'PCAR', 'TRIP', 'CF', 'DNR', 'CMI', 'RF', 'LB', 'WM', 'BAC', 'NWSA', 'NI', 'HOT', 'BKR', 'MSI', 'CSX', 'EMR', 'AMP', 'SHW', 'APD', 'NDAQ', 'AES', 'JEF', 'GS', 'DHI', 'KLAC', 'XEL', 'ADBE', 'CLX', 'ROST', 'COG', 'TXT', 'CPRI', 'KSU', 'JPM', 'OXY', 'VAR', 'LEG', 'AVP', 'PRGO', 'GIS', 'HOG', 'DTE', 'BBY', 'AVB', 'LEN', 'TSN', 'GAS', 'PNC', 'YUM', 'FTR', 'PNW', 'AIZ', 'ORCL', 'CERN', 'EQT', 'HON', 'ETR', 'XRAY', 'AMGN', 'SYY', 'DE', 'EMC', 'AAPL', 'CRM', 'MDT', 'IBM', 'ETFC', 'LYB', 'EXPE', 'WMB', 'WELL', 'TRV', 'UNM', 'PEP', 'LLY', 'SJM', 'STI', 'VLO', 'K', 'FE', 'HAS', 'BMY', 'ADSK', 'GM', 'LH', 'NLSN', 'MMC', 'PEG', 'DAL', 'NEM', 'TMO', 'BXP', 'EL', 'CSCO', 'RRC', 'APH', 'FDX', 'LMT', 'TEL', 'WFC', 'PH', 'FAST', 'COST', 'DGX', 'NE', 'F', 'SWK', 'CAT', 'CMCSA', 'XEC', 'LHX', 'DOV', 'PBCT', 'CCL', 'MRK', 'MHK', 'AMAT', 'NUE', 'HUM', 'PEAK', 'UPS', 'JCI', 'DG', 'ALL', 'MAC', 'MNST', 'CBRE', 'DLTR', 'PXD', 'GILD', 'MCK', 'CI', 'HAL', 'FLIR', 'PFG', 'HPQ', 'EIX', 'NRG', 'OMC', 'VMC', 'WHR', 'ZTS', 'AKAM', 'MRO', 'AEE', 'LOW', 'KIM', 'GLW', 'PVH', 'ITW', 'ABBV', 'NKE', 'SYK', 'TXN', 'LM', 'ABT', 'D', 'GD', 'VFC', 'CMG', 'CPB', 'SO', 'PSX', 'WY', 'PSA', 'R', 'NSC', 'IFF', 'FISV', 'CTAS', 'PHM', 'AVY', 'RTX', 'VTR', 'MMM', 'EA', 'RCL', 'SPG', 'TAP', 'WU', 'IQV', 'CTXS', 'MO', 'FFIV', 'TGT', 'ROK', 'USB', 'BBBY', 'KR', 'GME', 'COV', 'ADM', 'RHI', 'V', 'AIG', 'MYL', 'BLK', 'ISRG', 'FLR', 'J', 'EW', 'KMB', 'CAG', 'CSC', 'DRI', 'PRU', 'SWN', 'ADI', 'URBN', 'OI', 'MUR', 'CNX', 'NTRS', 'C', 'DVA', 'MOS', 'BKNG', 'MSFT', 'PAYX', 'BAX', 'KO', 'NFLX', 'PG', 'XRX', 'DISCA', 'QEP', 'SCHW', 'GNW', 'NOC', 'NTAP', 'NEE', 'AME', 'REGN', 'WAT', 'HAR', 'GOOG', 'KEY', 'KMI', 'FTI', 'CVS', 'ESS', 'GL', 'GWW', 'BK', 'STX', 'EBAY', 'PM', 'AEP', 'CINF', 'PWR', 'PKI', 'NVDA', 'MTB', 'VRTX', 'GPC', 'IRM', 'JNPR', 'AIV', 'FSLR', 'MDLZ', 'MLM', 'MA', 'KMX', 'TPR', 'AGN', 'HSY', 'UNP', 'WYNN', 'EXPD', 'GT', 'STZ', 'BEN', 'AXP', 'WBA', 'PBI', 'CCI', 'STT', 'LRCX', 'T', 'PCG', 'VRSN', 'INTU', 'AMT', 'MAS', 'URI', 'MNK', 'SNA', 'A', 'GE', 'NBL', 'AON', 'MCHP', 'MS', 'FIS', 'TJX', 'LNC', 'FOSL', 'HBAN', 'AZO', 'ANTM', 'THC', 'ES', 'BIIB', 'JWN', 'IVZ', 'PPG', 'AVGO', 'M', 'FLS', 'PPL', 'DVN', 'AFL', 'L', 'HIG', 'BWA', 'ROP', 'UNH', 'DD', 'FMC', 'JNJ', 'GRMN', 'RSG', 'CMS', 'VNO', 'HD', 'ICE', 'CNP', 'AMZN', 'CHK', 'DHR', 'SPGI', 'ED', 'MKC', 'FITB', 'MCD', 'RIG', 'SEE', 'HRL', 'APA', 'CTL', 'KSS', 'EXC', 'DO', 'CHRW', 'MPC', 'FB', 'FCX', 'BLL', 'XLNX', 'BSX', 'CL', 'IP', 'RTN', 'ACN', 'COL', 'AMCR', 'EQR', 'ORLY', 'SRE', 'ABC', 'EMN', 'PLD', 'BDX', 'ADP', 'GPS', 'PDCO', 'VZ', 'HST', 'EFX', 'XYL', 'WDC', 'TFC', 'RL', 'DIS', 'COF', 'ZBH', 'DFS', 'PNR', 'QCOM', 'PFE', 'CAH', 'PGR', 'OKE', 'CME', 'LIN', 'TIF', 'ALXN', 'DUK', 'AN', 'TDC', 'MAR', 'CB', 'ETN', 'ZION', 'ATI', 'MET', 'AMG', 'POM']",
features,"['Close', 'Volume']",
model,"RandomForestRegressor(n_jobs=-1, random_state=410)",
hist_depth,12,
train_depth,4,
start_date,2015-01-01,2015-01-01
end_date,2019-12-01,2019-12-01
allocation_builder,<function fixed_long_short at 0x7fa72a3cb200>,
params,"{'long': 15, 'short': 3}",
blacklist,set(),set()
target,Close,
returns,"[-0.24184984106422924, 0.07048964563394906, -0.06309612839810963, -0.002531797600130723, 0.015397318867333587, -0.07700350221088059, -0.07745671039855388, 0.2344071184291134, -0.013223494155855949, 0.28384460642347986, 0.020560439832136877, -0.027807985789456806, -0.3443749431498858, 0.03995529640219294, 0.32984758680137527, 0.037134139847956674, 0.04625731336961204, 0.010898133571366415, 0.04235989252065622, 0.037145880184168804, 0.005900482503369002, -0.010242792433539764, 0.09140949727863795, -0.015361669996903563, 0.046052166232300414, 0.047973330646185204, -0.002287017700359946, -0.03835157420738386, -0.08824012415513548, -0.004280906636801987, -0.08619765579589284, -0.03494978441093591, 0.07743450277639276, -0.01092219238033435, 0.003578816984102686, 0.025057656791624684, 0.0367734323185867, -0.021302838489852195, 0.14440567086424438, 0.008613732358272296, -0.04044447947530618, -0.007287776937117879, 0.023379923731280276, 0.050789200290737364, -0.011443228736608996, -0.020082188592514833, -0.0902281960689848, -0.11050556919536153, 0.14673520643484544, 0.09426663635288676, -0.015172701588052858, 0.022417069522540398, -0.082431053342876, 0.06752302998076828, -0.0677645289284525, -0.0836683881504933, 0.06265245966600999, 0.002795187954992599, -0.05124700535624895, 0.11705446143027085]","[-0.022981866057468655, 0.053595658517393216, -0.010532976495117358, 0.004568927571373827, 0.0028718996779891755, -0.022149544882412515, -0.0024060765155231615, -0.042036982911467, -0.01637687502993417, 0.07858323827163738, 0.0001837778887618851, -0.03583506652605361, -0.03026203534952428, 0.020954195512236044, 0.08399942584596337, 0.027025761308215823, 0.01043609195188532, 0.0035901643486992195, 0.04366951724041726, 0.005922911920423941, 0.0008569604351251044, -0.022760105911926114, 0.05375175260464569, 0.007386095966462276, 0.011531250574848615, 0.02801329926962359, -0.009835087482232958, 0.0022690212607672858, -0.0015849355294257148, 0.010277615664062796, 0.01427634075829158, -0.016774838097297726, 0.03681620207519108, 0.009307093611099524, 0.03404857047154819, 0.01438630401469717, 0.03887505982409885, -0.04176829422062723, -0.0020260299081762824, 0.009351533137335779, 0.020195591827177742, 0.004935859268966099, 0.036038709393428785, 0.016722078356925633, 0.0047401781083022485, -0.07684343900006907, 0.017734934908481142, -0.1164048741206643, 0.11825606560450787, 0.03564195367261136, -0.0007304758799108708, 0.024775678926549034, -0.08028510873788683, 0.0719144805647035, -0.004709318157959678, -0.03941256394071903, 0.04863955598488942, 0.00448353723749089, 0.023689063231768805, 0.038553115416217996]"
cumulative returns,"[1, 0.7581501589357708, 0.8115918949764753, 0.7603835885641745, 0.758458451219469, 0.7701366778405191, 0.7108334564657465, 0.6557746352866761, 0.8094928778831287, 0.7987885535432341, 1.0255203761392941, 1.0466055261295364, 1.0175015345317593, 0.6670995014224631, 0.6937536597315528, 0.9225866302286279, 0.9568460911773929, 1.001107220663474, 1.012017420873524, 1.0548863700507582, 1.0940710527605766, 1.100526599864833, 1.0892541343348283, 1.1888223071630528, 1.1705600111954564, 1.224466835415913, 1.2832085877766084, 1.2802738670231093, 1.2311733488061982, 1.1225344596510454, 1.1177289944326863, 1.0213833752974881, 0.9856862465299269, 1.0620123709235005, 1.0504128674979791, 1.054172102908501, 1.0805871856624876, 1.120324085398779, 1.0964580023512376, 1.2547927557552374, 1.265601204718412, 1.2144146227702555, 1.2055642398903317, 1.2337502398721263, 1.2964114279137369, 1.2815762954073662, 1.2558394385472988, 1.1425273114548893, 1.0162716805813206, 1.165394515425308, 1.2752523364185542, 1.2559033132686084, 1.2840569851557395, 1.1782108153170743, 1.2577671795233945, 1.1725351791013232, 1.0744310506161656, 1.1417467986788037, 1.144938195578122, 1.0862635417367559, 1.2134155355860905]","[1, 0.9770181339425313, 1.0293820642146159, 1.018539607127748, 1.0231932408212903, 1.0261317491601256, 1.0034033979268349, 1.000989132575487, 0.9589105695148471, 0.9432066109530195, 1.0173268408009242, 1.0175138029799073, 0.9810511281589446, 0.9513625242389079, 0.9712975605748244, 1.0528859979886944, 1.0813410436550996, 1.0926260182180318, 1.0965487251950996, 1.1444344786549647, 1.1512128632707346, 1.1521994071469648, 1.1259752266086414, 1.1864983684282688, 1.1952619592415308, 1.2090448243961294, 1.2429141588923276, 1.2306899894067156, 1.2334824511580929, 1.2315274609963291, 1.2441846269201884, 1.2619470306203289, 1.2407780734943072, 1.2864588097785399, 1.2984320023479723, 1.3426417558824304, 1.3619574083653818, 1.4149035840934605, 1.355805474899225, 1.35305857245741, 1.3657117445345017, 1.3932931014807033, 1.4001702001500334, 1.4506305270945792, 1.4748880844356032, 1.4818793166456408, 1.3680066137715174, 1.392268122021127, 1.2302013265350442, 1.3756800953125252, 1.4247120215379878, 1.4236713037704354, 1.458943726889593, 1.341812271133804, 1.4383080036277365, 1.4315345536295137, 1.3751141065012418, 1.44199904607002, 1.4484643024895014, 1.482777064940135, 1.539942740261293]"
total return,1.2134155355860905,1.539942740261293
annualized return,1.0394459470343878,1.090186788130621
return volatility,0.10072347647892804,0.03818199410021343
max drawdown,0.3626065554139856,0.1698370355018457
minimum,0.6557746352866761,0.9432066109530195
