,long,short
2015-01-01,"{'GAS': 0.09219858156028368, 'HAR': 0.02105211038741824, 'COV': 0.0, 'KR': 0.07724137931034478, 'BMY': 0.014092777451556054, 'MYL': -0.05995755217545102, 'CTSH': 0.02340676632572773, 'LEG': -0.0002808199943835442, 'TEL': 0.04201235657546342, 'DNR': -0.14391177307165207, 'CSX': -0.0778863775198534, 'WYNN': -0.004346499923745564, 'AXP': -0.13138085156433782, 'PNW': 0.031916769529183604, 'EMR': -0.07925043919578363, 'MRK': 0.053545586107091245, 'ABBV': -0.070677570093458, 'BWA': -0.02222222222222227, 'PLD': 0.04228445908841293, 'VAR': 0.06396644383274341, 'MON': -0.012967455868819519, 'DOV': -0.029045643153526948, 'PNC': -0.07434384026120812, 'GE': -0.057388809182209434, 'FITB': -0.15228720324261721, 'CHK': -0.007477642551508026, 'ORCL': -0.0668928744546776, 'ROK': -0.026860547308896258, 'AFL': -0.07207562032296187, 'HAS': -0.001871101871101942, 'YUM': -0.008145766345123161, 'ADBE': -0.03535075653370024, 'ICE': -0.06650576562080979, 'BK': -0.112482853223594, 'ACN': -0.06292834890965729, 'INTU': -0.05578465063001135, 'BDX': -0.015602069977600958, 'DFS': -0.1750726619935032, 'KMI': -0.019133034379671166, 'KMX': -0.07368735083532225, 'EXPE': 0.004181013280865758, 'NKE': -0.044479213232007195, 'APTV': -0.06375897705377474, 'FTR': 0.005988598250528572, 'MNST': 0.06882369070468873}","{'SWN': 0.08490217792543377, 'DRI': -0.051576576576576556, 'GILD': -0.1019061583577713, 'BKNG': 0.11758741258741257, 'TT': -4.333333333333334}"
2015-02-01,"{'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'HAR': -0.02061805678010932, 'ROP': 0.08257616247995714, 'RL': -0.17442331040064743, 'PRGO': 0.017877017250973997, 'PCAR': 0.06394279877425935, 'AVP': 0.10540540540540531, 'GWW': 0.018150388936905796, 'RF': 0.09466666666666677, 'BLK': 0.08482458800930125, 'ADI': 0.13132635253054092, 'AGN': 0.08599052880820833, 'ANTM': 0.08508757833842213, 'LEN': 0.1155176389209132, 'PGR': 0.04673321234119788, 'NBR': 0.09956631731116727, 'AMCR': 0.04182509505703434, 'EMC': 0.015872843127118823, 'PG': 0.006402226861517161, 'JPM': 0.12387290682696443, 'XL': 0.04714330315329372, 'VAR': 0.009534422981674047, 'AMG': 0.05558629709743957, 'SRCL': 0.009423378954453599, 'VRTX': 0.08267609464237154, 'FDX': 0.045323470411233635, 'NKE': 0.053783469150174505, 'AME': 0.10282388445785721, 'LEG': 0.05378151260504186, 'MTB': 0.06741797147701212, 'HST': -0.0835164835164835, 'CA': 0.07626804887078854, 'MCD': 0.08367037411526781, 'GL': 0.06407035175879403, 'FFIV': 0.07099465046695075, 'NLSN': 0.03719239373601805, 'TXN': 0.09903329752953813, 'RSG': 0.02799999999999991, 'DHR': 0.05873750913965383, 'EBAY': 0.09020146520146514, 'CTXS': 0.07319185794716333, 'AES': 0.0604229607250755, 'HRB': -0.005380200860832087, 'HPQ': -0.03928836174944399}","{'INTC': -0.0130052724077329, 'MUR': -0.10921870775885371, 'BKNG': -0.22280632411067194, 'PRU': -0.06614223791940918, 'TT': 0.75}"
2015-03-01,"{'TT': -0.8125, 'HPQ': -0.09567901234567902, 'FOSL': -0.03758608614450798, 'COV': 0.0, 'NRG': 0.050337078651685435, 'GPC': -0.024593172641624923, 'FCX': -0.12379576107899808, 'UNP': -0.0993619816100582, 'OXY': -0.053685627734769516, 'CHK': -0.1510792017706267, 'DUK': -0.021696891191709786, 'DISCK': -0.03691604050963734, 'XEL': -0.0033795201081446916, 'AVY': -0.010008340283569724, 'IRM': 0.007506914263137151, 'AEE': 0.007607776838545957, 'MAT': -0.1383484651967142, 'MAC': 0.009842519685039392, 'SWN': -0.07535885167464103, 'AVB': 0.042017401145929105, 'PSA': 0.013707976677831584, 'R': 0.005886036318096417, 'WELL': -0.0010075566750628912, 'NBL': 0.035434882650713276, 'CSX': -0.034879999999999994, 'NE': -0.13663894741709004, 'PHM': -0.013935607880826486, 'AIZ': 0.002201834862385274, 'PRGO': 0.07175562085696713, 'HST': -0.031698564593301296, 'GNW': -0.05677419354838715, 'VAR': 0.01202011529498349, 'VTR': -0.012832550860719879, 'NVDA': -0.048895157498824594, 'CNP': -0.019300361881785088, 'PNW': -0.002813731007315807, 'EQR': 0.014472777394900127, 'RIG': -0.07268966583759681, 'MU': -0.12709137709137708, 'GM': 0.013536379018612472, 'SRCL': 0.03737903523675853, 'DTE': -0.006122144243691154, 'MS': 0.0012678288431061536, 'BDX': -0.017353418992763214, 'BMY': 0.05538637228778081}","{'TPR': 0.04116978989210664, 'TIF': 0.00050884111436212, 'BSX': -0.04289071680376031, 'HBAN': -0.01886792452830188, 'BKNG': 0.05946273480105022}"
2015-04-01,"{'TT': -0.8125, 'NFLX': 0.33299798792756535, 'CHK': 0.09781863367873672, 'POM': -0.028169192025537096, 'DNR': 0.1970052724077329, 'ADSK': -0.014736477115117916, 'GAS': 0.0, 'HPQ': 0.0350584307178631, 'GNW': 0.20741758241758226, 'EMN': 0.10516542876434835, 'CTL': 0.0420009438414345, 'BLK': -0.0015734650848097682, 'FCX': 0.22204037097654122, 'AMZN': 0.13351249664068784, 'AEP': 0.011531069827033934, 'MYL': 0.2364818617385354, 'OI': 0.024486226497595045, 'FOSL': 0.020165208940719277, 'PVH': -0.03118208447510155, 'GPC': -0.031985895982873595, 'NOC': -0.03777943874430913, 'NTAP': 0.028580603725112414, 'MAC': 0.022089041095890397, 'HES': 0.12283820914821403, 'FMC': 0.034965034965034995, 'LM': -0.04206418039895919, 'AET': 0.004288917048445245, 'AAPL': 0.002618715083798858, 'RTX': -0.030961182994454793, 'WDC': 0.07920923444341248, 'FTI': 0.24651313655530332, 'APA': 0.1266034578918015, 'NWSA': -0.015519568151147127, 'VRTX': 0.04838846840717746, 'DO': 0.23368983957219247, 'MON': -0.00610500610500613, 'HRB': -0.055066921606118466, 'MNST': -0.011678200692041504, 'MA': 0.04200978637068858, 'CF': 0.009590792838874589, 'BDX': -0.019232213958380304, 'RSG': 0.0053087454596255305, 'TSN': 0.03531438415159357, 'AMT': -0.01376199838094134, 'CSX': 0.08697089947089945}","{'DUK': -0.008259002312520648, 'FDX': -0.02756006681228313, 'HBAN': 0.015283842794759887, 'HOT': -0.003205128205128205, 'BKNG': -0.06341065292096215}"
2015-05-01,"{'TT': 0.0, 'BLK': -0.002034237786749217, 'PHM': -0.010614525139664679, 'RCL': 0.12244224422442235, 'BIIB': 0.051573426573426645, 'AMAT': 0.014762165117550552, 'VTR': -0.03411764705882355, 'CHRW': -0.046075683251576655, 'POM': 0.10144993478326803, 'EW': 0.028315243039169317, 'GLW': 0.0010893246187363603, 'FIS': 0.0, 'FSLR': -0.13547826086956521, 'HSY': 0.011567807039133616, 'BBY': -0.0016644474034620744, 'LEN': 0.019959174415967236, 'VLO': 0.0455130957492487, 'MKC': 0.03830468977570652, 'ITW': -0.00252951096121409, 'JWN': -0.03211776513884245, 'ESS': -0.003387533875338783, 'HUM': 0.2852974046939028, 'DHI': 0.0254590984974958, 'WELL': -0.01619870410367181, 'TEL': 0.03564257028112454, 'WM': 0.00159271899886235, 'PLD': -0.0201342281879196, 'FMC': -0.04056326187473728, 'MDT': 0.031202665858830695, 'VRSN': -0.011111111111111125, 'BBBY': 0.0111147433801896, 'XRX': -0.011342155009451823, 'KIM': -0.007874015748031527, 'JCI': 0.023540793292486192, 'EQR': 0.002676181980374767, 'WHR': 0.052746525479814683, 'BMY': 0.004857862540482244, 'THC': 0.10421424122898061, 'NWSA': -0.04693877551020405, 'OKE': -0.12900505902192244, 'KSS': -0.08512560997650463, 'REGN': 0.10699321843548867, 'IFF': 0.030839133797370435, 'ANDV': 0.035182849936948375, 'MSI': -0.01863124884707615}","{'HBAN': -0.015384615384615448, 'GNW': 0.10282485875706207, 'DNR': 0.14136361481200518, 'HOT': 0.13738019169329074, 'BKNG': 0.061729976383941176}"
2015-06-01,"{'FTR': -0.04624376796395898, 'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'CNX': -0.21818181818181828, 'URBN': 0.010976314269208625, 'FCX': -0.05733824302998421, 'CPRI': -0.10408684546615568, 'QEP': -0.020640103092225293, 'BIIB': 0.012710908315992663, 'SWN': -0.11453058044409821, 'LUV': -0.108314479638009, 'CHRW': 0.011878654970760209, 'MRO': -0.025386751289170985, 'NWSA': -0.039857651245551635, 'BLK': -0.04913204236385288, 'MNST': 0.048345458812485385, 'HES': -0.0008238589553467978, 'RIG': -0.146188585847222, 'ADSK': -0.07924250781393642, 'ROST': 0.006730351715154042, 'NFX': -0.04646251319957775, 'FOSL': -0.02570585756426462, 'HOG': 0.04966090570991022, 'FSLR': -0.05586816720257237, 'CERN': 0.020508982035928214, 'LEN': 0.08893805309734504, 'OI': -0.04462388440288995, 'NTAP': -0.05136054421768701, 'APA': -0.03769317753486619, 'COL': 0.0013960909453530172, 'HOT': 0.02962962962962963, 'KSS': -0.03713947056499398, 'WM': -0.062485850124519016, 'NOV': -0.008346145398638316, 'NSC': -0.05530678930170632, 'DGX': -0.04380642296877304, 'NRG': -0.09071550255536623, 'EXPE': 0.01796173369777434, 'MCO': -0.0037350108118733585, 'CVX': -0.0676772499403199, 'FMC': -0.07956284153005466, 'COP': -0.047231558464532135, 'EQT': -0.04341050756901164, 'JWN': 0.02540176257128056, 'CTL': -0.1162005785920926}","{'DISCK': 0.013333333333333388, 'LRCX': 0.01364057740696598, 'EMC': -0.24637561151722506, 'HUM': 0.10128429655575011, 'COV': -0.0}"
2015-07-01,"{'AVP': -0.10147299509001638, 'DNR': -0.37953631454985337, 'CHK': -0.22678571428571428, 'MU': -0.02834645669291334, 'NEM': -0.26166044776119407, 'IRM': -0.029130632680928567, 'SWN': -0.18169819621645397, 'CNX': -0.23692992213570632, 'CSCO': 0.03637141634574231, 'LUV': 0.06912585244885319, 'BIIB': -0.21928879310344834, 'AMAT': -0.10207515423443617, 'NBR': -0.19263392137259325, 'NRG': -0.017249417249417295, 'F': -0.010230179028133076, 'DO': -0.14691081088513408, 'RIG': -0.170731861597824, 'HRB': 0.11300813008130071, 'NOV': -0.1269665411034789, 'DAL': 0.06228465412138886, 'NE': -0.19671525468626927, 'HPQ': 0.006932409012131722, 'AVGO': -0.06897140418267189, 'PPL': 0.07241379310344827, 'VZ': 0.015037593984962275, 'ORCL': -0.012817089452603576, 'NWSA': 0.0, 'POM': -0.014705947015499687, 'WHR': 0.016360866397297467, 'CTL': -0.029891304347825935, 'PXD': -0.07976465331049383, 'XRX': 0.029292107404393915, 'HOT': -0.10071942446043165, 'FCX': -0.3657718120805369, 'BLK': -0.03908922114726864, 'PVH': -0.0008676036786396714, 'AMG': -0.05786128248270703, 'COP': -0.17071362372567192, 'MYL': -0.18286631640396958, 'GWW': -0.0410294666169339, 'TXN': -0.03504928806133629, 'BK': 0.02423137050547159, 'JNPR': 0.0798640611724725, 'GNW': -0.08604954367666234, 'GILD': -0.00215749730312836}","{'COV': -0.0, 'EW': -0.06020066889632097, 'VNO': -0.03837987914421038, 'PFE': -0.07444523979957045, 'TT': 0.5714285714285715}"
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'NBR': 0.013172092265722078, 'FCX': -0.08629893238434169, 'BIIB': -0.07189460868479372, 'QEP': 0.027052482863272352, 'NE': 0.10714285714285714, 'RIG': 0.09452277115013355, 'CHK': -0.08761682242990654, 'GNW': -0.261055634807418, 'NAVI': -0.18938775510204084, 'MON': -0.0397285868816992, 'HUM': 0.0015885623510722862, 'CNX': -0.06911764705882349, 'AMG': -0.10118337311058072, 'MYL': -0.1127214170692431, 'HOT': 0.016, 'POM': 0.029848648142074042, 'MUR': -0.033788914198937, 'FB': -0.043836202288035864, 'XYL': -0.055452292441140104, 'AVP': -0.07468123861566486, 'ADS': -0.06568980029076436, 'LIN': -0.07318030213851279, 'GWW': -0.011839530332681095, 'AMAT': -0.0732919254658386, 'HAR': -0.1285713413032456, 'UAA': -0.04154124021673691, 'TGNA': -0.19064966605950207, 'LYB': -0.07691069991954949, 'JEF': -0.08660624370594154, 'OXY': 0.051092188078489406, 'MAT': 0.013935607880826656, 'AES': -0.06344696969696968, 'CI': -0.0234044030835475, 'GLW': -0.06793145654834758, 'NRG': -0.11031859248692345, 'APTV': -0.033056505455137504, 'OI': -0.020143884892086412, 'GILD': -0.11338090118268017, 'XOM': -0.03499136984151886, 'TRIP': -0.11954674220963171, 'DVA': -0.04337928417857585, 'CERN': -0.14116652578191044, 'KSS': -0.16799329702555515}","{'GOOG': 0.011337832219272766, 'DHI': -0.025062656641603984, 'GOOGL': 0.01496213849101347, 'EMC': 0.009999897155668633, 'CMG': 0.04500517842011115}"
2015-09-01,"{'HAR': 0.0, 'DNR': -0.41486810551558756, 'GAS': -0.084, 'POM': -0.014490681157347847, 'BIIB': -0.0014030524946958625, 'NAVI': -0.09053497942386839, 'WYNN': -0.27127172918572734, 'REGN': -0.06839712391596073, 'WAT': -0.007556040634707461, 'PRGO': -0.13188346804675238, 'UHS': -0.07366593705185301, 'NBR': -0.14076652130157663, 'GS': -0.05684951598709298, 'BDX': -0.037936384794414274, 'VRTX': -0.16063512533247357, 'AMZN': 0.02554393556917899, 'BA': 0.021700776287932197, 'AVB': 0.07965748003166147, 'AMG': -0.06168996547625789, 'FFIV': -0.024924216908049916, 'FIS': -0.005825854196189536, 'BAX': -0.12528026905829592, 'AES': -0.16889804325437696, 'LH': -0.0624891961970614, 'AGN': -0.09103140601210911, 'SEE': -0.0661103979460848, 'EIX': 0.09727947238252264, 'PRU': -0.025192012288786383, 'PSA': 0.07037103638434322, 'SHW': -0.11526129502394339, 'HOT': 0.09448818897637795, 'ALXN': -0.07252994899774652, 'NLSN': 0.00595721635526669, 'R': -0.07761890866647224, 'HBAN': -0.0033594624860021683, 'PNW': 0.08670520231213875, 'ESS': 0.0637134263057151, 'NEE': 0.002367424242424276, 'ETR': 0.00987279286121124, 'KMB': 0.04837448329795552, 'DTE': 0.05087118855009328, 'RSG': 0.028627015008338, 'WHR': -0.10540313549832028, 'USB': -0.0019455252918288018, 'SPG': 0.04004695159842562}","{'KMI': 0.13003452243958574, 'OKE': 0.07465543644716689, 'ATI': 0.23353624792473718, 'CVS': 0.04138086135162495, 'TT': 0.8125}"
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'HAR': 0.04838765298416105, 'REGN': 0.20124566280899117, 'GAS': 0.021834061135371178, 'AMZN': 0.22485322896281795, 'NBR': 0.038272605875620015, 'COV': 0.0, 'SNA': 0.09783005771900333, 'ISRG': 0.07956694710754574, 'SRCL': -0.13356653340948035, 'HAL': 0.06989748369058714, 'SHW': 0.197834784655213, 'NLSN': 0.06981132075471688, 'VRTX': 0.20872093023255806, 'AVP': 0.23510971786833856, 'INTC': 0.1206766917293232, 'GLW': 0.08432147562582352, 'ZION': 0.041518386714116284, 'BIIB': -0.005068666735162225, 'MO': 0.11032698188661504, 'OKE': 0.06311475409836077, 'PBI': 0.03820828164999607, 'EFX': 0.09599477579451467, 'GD': 0.08199773352760224, 'BDX': 0.07573677836092044, 'ROST': 0.043356341673856734, 'CTAS': 0.08054020871700432, 'SLB': 0.1147402267727196, 'IFF': 0.11518435872914679, 'GOOGL': 0.1558924036743266, 'COL': 0.05399348003259981, 'ORCL': 0.07602862254025057, 'DFS': 0.0867883995703546, 'UNP': 0.0011244377811093103, 'POM': 0.0, 'BKR': 0.0009121313469139902, 'KSU': -0.09603072983354674, 'HBAN': 0.03367003367003375, 'XLNX': 0.11914011914011918, 'DE': 0.0631324573327293, 'WU': 0.04651162790697667, 'FIS': 0.07621138466363482, 'PVH': -0.10665875136044313, 'PNW': -0.00036670333700029373}","{'INTU': -0.10261260196240682, 'MAT': -0.181526962092899, 'WYNN': -0.3091325150821718, 'DO': -0.1231616916129398, 'AMCR': -0.0038910505836576197}"
