,Portfolio,S&P
tickers,"['IRM', 'PAYX', 'GNW', 'APD', 'ORLY', 'CAH', 'PFG', 'T', 'TAP', 'DIS', 'GPS', 'STX', 'JCI', 'MDT', 'ZION', 'NKE', 'AEP', 'DVA', 'AON', 'AVB', 'MSI', 'AKAM', 'AMZN', 'APTV', 'PRGO', 'COP', 'ETFC', 'TRIP', 'RHI', 'A', 'XOM', 'HRB', 'UNM', 'EQR', 'RF', 'DRI', 'LIN', 'TSN', 'CERN', 'WEC', 'EIX', 'BK', 'WELL', 'LM', 'CTXS', 'QCOM', 'HD', 'FLS', 'CTSH', 'IVZ', 'KSS', 'AMGN', 'BKR', 'XEL', 'CMS', 'TGNA', 'HBAN', 'LUV', 'CME', 'ABC', 'HSY', 'FOSL', 'J', 'NBL', 'URBN', 'DFS', 'OXY', 'CBRE', 'FE', 'ALL', 'RTX', 'MUR', 'C', 'OMC', 'NWL', 'DVN', 'BIIB', 'KO', 'OI', 'GM', 'DG', 'HAS', 'PKI', 'JNJ', 'JWN', 'SBUX', 'UNH', 'DO', 'VFC', 'ADI', 'JEF', 'MAT', 'K', 'GRMN', 'CF', 'RRC', 'ANTM', 'SYK', 'CMG', 'AGN', 'AEE', 'PCG', 'MAS', 'ADP', 'EXPE', 'ZBH', 'LYB', 'PPL', 'CTAS', 'MCK', 'DGX', 'AMAT', 'NBR', 'WAT', 'INTU', 'COST', 'EMR', 'ABT', 'CMI', 'JNPR', 'BA', 'HOT', 'SRCL', 'MMC', 'RSG', 'CMA', 'SHW', 'TROW', 'MSFT', 'ABBV', 'NTRS', 'BXP', 'ATI', 'MRO', 'AAPL', 'AIV', 'NDAQ', 'TFC', 'KEY', 'EMN', 'DLTR', 'FMC', 'BBBY', 'UAA', 'LEN', 'LLY', 'DHI', 'OKE', 'EMC', 'VRTX', 'SYY', 'MKC', 'PEAK', 'ROP', 'ICE', 'AMT', 'SCHW', 'LHX', 'GOOGL', 'SRE', 'NI', 'KIM', 'SNA', 'FLR', 'FTI', 'HOG', 'AFL', 'BKNG', 'AZO', 'CNP', 'LOW', 'FISV', 'HPQ', 'NEE', 'NLSN', 'PFE', 'FAST', 'PVH', 'EL', 'V', 'CPRI', 'VZ', 'AME', 'ORCL', 'GAS', 'EQT', 'BAC', 'ESS', 'M', 'MO', 'ISRG', 'PHM', 'KMX', 'AVY', 'HON', 'HUM', 'MU', 'PCAR', 'CTL', 'GOOG', 'RL', 'EXC', 'LB', 'KMB', 'PEG', 'EOG', 'DISCK', 'ACN', 'ETR', 'LEG', 'FFIV', 'AMG', 'DTE', 'THC', 'AN', 'DUK', 'LMT', 'NOC', 'CL', 'IP', 'ECL', 'NE', 'MLM', 'AMP', 'BLL', 'ZTS', 'PNW', 'WDC', 'XLNX', 'REGN', 'TJX', 'DD', 'CAT', 'MPC', 'FSLR', 'COV', 'HIG', 'PLD', 'AIZ', 'GLW', 'XEC', 'GE', 'TDC', 'L', 'PNR', 'CINF', 'APA', 'BAX', 'MCO', 'COF', 'BBY', 'FLIR', 'CAG', 'MTB', 'SJM', 'PGR', 'ADBE', 'DOV', 'VMC', 'HES', 'JPM', 'PWR', 'ADSK', 'RCL', 'STT', 'TRV', 'SEE', 'ALLE', 'KR', 'WU', 'CCL', 'ITW', 'ADS', 'GME', 'YUM', 'CSCO', 'FTR', 'NFLX', 'USB', 'NSC', 'CMCSA', 'HST', 'CRM', 'FIS', 'TPR', 'VTR', 'WM', 'DAL', 'PM', 'DHR', 'NTAP', 'MAC', 'NWSA', 'AXP', 'TXT', 'SLB', 'RIG', 'ETN', 'CI', 'WMT', 'CLX', 'EW', 'IPG', 'HP', 'EFX', 'TIF', 'AES', 'SWK', 'LNC', 'BEN', 'NRG', 'F', 'BWA', 'ES', 'GPC', 'PEP', 'AVP', 'CVS', 'DNR', 'MAR', 'PBCT', 'DE', 'GILD', 'VRSN', 'TSCO', 'PPG', 'KMI', 'DISCA', 'UPS', 'AMCR', 'WYNN', 'PSA', 'LRCX', 'AIG', 'ADM', 'MET', 'XRX', 'QEP', 'BLK', 'HRL', 'COL', 'GWW', 'STI', 'WBA', 'VAR', 'PXD', 'BSX', 'MS', 'R', 'WY', 'CB', 'EXPD', 'D', 'EA', 'VLO', 'CNX', 'NEM', 'PDCO', 'CHK', 'UHS', 'SPGI', 'APH', 'MNK', 'HAL', 'BMY', 'NOV', 'TGT', 'MCD', 'RTN', 'GL', 'WFC', 'MNST', 'ALXN', 'COG', 'GIS', 'XYL', 'MYL', 'MA', 'PH', 'BDX', 'PRU', 'CSC', 'LH', 'TEL', 'XRAY', 'IFF', 'IBM', 'SPG', 'POM', 'KSU', 'MCHP', 'NUE', 'CSX', 'MRK', 'MHK', 'UNP', 'ROK', 'WHR', 'PBI', 'MOS', 'TMO', 'ROST', 'FB', 'URI', 'FITB', 'NVDA', 'CHRW', 'SO', 'GS', 'KLAC', 'INTC', 'ED', 'TXN', 'FDX', 'PNC', 'MDLZ', 'GD', 'PG', 'STZ', 'FCX', 'IQV', 'WMB', 'CVX', 'HAR', 'GT', 'CCI', 'PSX', 'SWN', 'MMM', 'VNO', 'AVGO', 'EBAY', 'CPB']",
features,"['Close', 'Volume']",
model,"RandomForestRegressor(n_jobs=-1, random_state=407)",
hist_depth,6,
train_depth,3,
start_date,2015-01-01,2015-01-01
end_date,2019-12-01,2019-12-01
allocation_builder,<function fixed_long_short at 0x7fb248def170>,
params,"{'long': 20, 'short': 0}",
blacklist,set(),set()
