,long,short
2015-11-01,"{'CNX': 0.1948998178506374, 'COV': 0.0, 'CMG': -0.04991803278688532, 'WEC': -0.02553485162180813, 'ES': -0.00045413260672107225, 'CMI': -0.020367054610563935, 'FLR': 0.025451180009255007, 'MCO': 0.0890801385939421, 'LUV': -0.012623985572587969, 'T': -0.0003802281368821887, 'EXPD': -0.023146163737676775, 'HOG': -0.010861865407319973, 'PWR': 0.0995975855130785, 'MYL': 0.14330287497214175, 'GPS': -0.01553220648698035, 'UNP': -0.05440479161467431, 'PVH': 0.004208660981282484, 'EQT': -0.12762892538173437, 'PCAR': -0.012474012474012454, 'NOV': 0.001701644923426043}",{}
2015-12-01,"{'TT': 0.25000000000000006, 'CHK': -0.1461100569259962, 'ATI': -0.10941271118262265, 'ES': 0.013901549680948026, 'KMI': -0.3680203045685279, 'SPG': 0.039578348315333405, 'NTAP': -0.12407680945347119, 'PRU': -0.0642201834862385, 'PVH': -0.1927830500993158, 'MUR': -0.2169534200587494, 'FCX': -0.18000000000000005, 'PEG': -0.005728067530901562, 'J': -0.04896907216494837, 'BKNG': 0.012829679059421744, 'PCAR': -0.04652266793258962, 'GWW': 0.012480756542775513, 'COV': 0.0, 'CCI': 0.01358281358281344, 'BWA': 0.009796533534287881, 'SWN': -0.2073578595317726}",{}
2016-01-01,"{'DNR': -0.22388059701492527, 'HAR': 0.06666635703703014, 'CMG': -0.033560913164070755, 'FCX': -0.30312500000000003, 'ORLY': 0.05011068625477959, 'ADS': -0.26321513186002266, 'HOT': 0.1346938775510204, 'HES': -0.12186865267434, 'COV': 0.0, 'COL': 0.2776726584673605, 'PVH': 0.009138742730545508, 'GNW': -0.24043715846994543, 'FMC': -0.05521071545246644, 'MDLZ': -0.022371364653243814, 'SWN': 0.2645803698435278, 'NWSA': -0.01145662847790512, 'AMG': -0.13490691489361697, 'WU': 0.016096579476861182, 'MOS': -0.11788132218239748, 'MPC': -0.1913691821057388}",{}
2016-02-01,"{'DNR': -0.09859154929577459, 'GNW': -0.22627737226277375, 'POM': 0.015873091206796173, 'FCX': 0.6949541284403667, 'NBR': 0.0028233180403606003, 'HAR': 0.2653039027511197, 'RF': -0.0759493670886076, 'HBAN': 0.02213001383125854, 'COV': 0.0, 'CF': 0.23200312989045382, 'DVN': -0.2718293164757013, 'REGN': -0.07950813777894968, 'ADS': 0.050658241179568214, 'MRK': -0.0036347114947751858, 'NAVI': 0.13852242744063334, 'NTAP': 0.14490527393753191, 'LM': -0.042270058708414944, 'COG': -0.005189413596263512, 'MMM': 0.05806255231717522, 'SPGI': 0.07052802396704538}",{}
2016-03-01,"{'TT': 3.0, 'DNR': 0.6946564885496184, 'HES': 0.2082813669244199, 'SWN': 0.3654822335025381, 'KEY': 0.04108108108108117, 'POM': 0.569228787694091, 'CPRI': -0.0005264081417792794, 'CBRE': 0.12140077821011677, 'ZTS': 0.0684523809523809, 'APH': 0.08229329173166924, 'GE': 0.08086785009861922, 'R': 0.13163739147991108, 'AN': -0.12073836880768513, 'COV': 0.0, 'PEAK': 0.09246417013407306, 'VNO': 0.08627518512140517, 'ADS': 0.0365720524017466, 'LLY': -0.008596868283696688, 'CTL': 0.05234297108673982, 'IVZ': 0.13651238896680684}",{}
2016-04-01,"{'KIM': -0.01316386745347266, 'BSX': 0.1709401709401711, 'HAR': 0.06976715927510976, 'MUR': 0.45747236905333977, 'GLW': -0.09703504043126689, 'FAST': -0.024847632442569042, 'COG': 0.05094339622641518, 'PWR': 0.06281066425666519, 'DO': 0.14596126594237127, 'JNPR': -0.07879843273835432, 'IRM': 0.09830781627719586, 'RF': 0.2023289665211062, 'ZION': 0.1467391304347827, 'FIS': 0.03394039735099345, 'MS': 0.09313725490196077, 'NBL': 0.18181818181818166, 'COV': 0.0, 'XRX': -0.13140398904966755, 'MOS': 0.04083266613290631, 'XRAY': -0.029574861367837307}",{}
2016-05-01,"{'HAR': 0.0869577069953724, 'AVP': -0.17584745762711856, 'AMCR': 0.06941431670281982, 'GPS': -0.22110817941952504, 'RF': 0.040865384615384595, 'AES': -0.005274261603375602, 'NRG': 0.09103448275862071, 'SWN': 0.03875379939209725, 'FCX': -0.2102941176470588, 'NEM': -0.07550077041602474, 'CNP': 0.06267332224070987, 'CNX': 0.017488076311605774, 'HOT': 0.4583333333333333, 'HBAN': 0.030127462340672047, 'COV': 0.0, 'MRO': -0.06405425772418988, 'PLD': 0.04537521815008727, 'NI': 0.0515361744301288, 'AMAT': 0.19604784191367652, 'IPG': 0.04052684903748738}",{}
2016-06-01,"{'CHK': 0.0166270783847981, 'AVP': -0.02583979328165377, 'GPS': 0.1828687967369135, 'NE': 0.0012061991325113335, 'COV': 0.0, 'ATI': 0.046166529266281835, 'CF': -0.1288852051388313, 'PBI': -0.03939766567972131, 'KR': 0.027794561933534793, 'RIG': 0.2145045965270686, 'M': 0.02854908095424327, 'HRL': 0.06255924170616127, 'FLIR': 0.0003419972640219413, 'MOS': 0.04729441840647633, 'GLW': -0.010165864098448435, 'FCX': 0.005586592178770996, 'CTL': 0.07240811848601209, 'PVH': 0.006770553465878664, 'HOG': -0.020463510848126365, 'GT': -0.07646826960977537}",{}
2016-07-01,"{'GNW': 0.10852713178294565, 'CHK': 0.2752941176470588, 'RF': 0.08689839572192518, 'COV': 0.0, 'HBAN': 0.06824146981627302, 'KEY': 0.07476635514018679, 'POM': 0.021978130298211215, 'ADS': 0.1817204878835097, 'CME': 0.053909318100678345, 'DVN': 0.06391087657578422, 'ATI': 0.3993685872138911, 'BAC': 0.09836065573770501, 'SWN': 0.14263322884012541, 'MAR': 0.07988587731811685, 'PBCT': 0.050080775444264876, 'CRM': 0.02776730745068468, 'PVH': 0.07076627944154322, 'F': -0.006711409395973182, 'NRG': -0.07713498622589526, 'CMA': 0.113881961762261}",{}
2016-08-01,"{'WMB': 0.17987486965589153, 'COV': 0.0, 'GNW': 0.6198630136986303, 'GLW': 0.025870646766169132, 'POM': -0.09374902669199864, 'NWSA': 0.08627773212818411, 'TGNA': -0.07109004739336496, 'FITB': 0.058298631766805505, 'HPQ': 0.02252614641995182, 'FTR': -0.11538498804986758, 'NRG': -0.12143928035982003, 'CB': 0.02158084042459872, 'NTRS': 0.050470626419993614, 'FAST': 0.007306889352818401, 'KMI': 0.08796296296296294, 'RHI': 0.055274888558692406, 'XEC': 0.11466643289208392, 'SRCL': -0.04317827732027593, 'VZ': -0.05829787234042558, 'DVA': -0.1674610331057581}",{}
2016-09-01,"{'HAR': -0.07142821598650456, 'COV': 0.0, 'POM': 0.023255935235227707, 'RIG': 0.11041666666666672, 'NE': 0.09688581314878886, 'FCX': 0.052999999999999936, 'BMY': -0.06381733021077289, 'PSA': 0.0033114296062502525, 'MLM': -0.019186145226102135, 'NUE': 0.025439407955596703, 'NI': 0.008411214953271016, 'BSX': -0.011217282924802641, 'ADS': 0.04832484174772264, 'PFE': -0.02484266313348791, 'DLTR': -0.041995387789780236, 'JWN': 0.02207357859531777, 'AVY': 0.00823447313328666, 'AZO': 0.03239589911720841, 'APA': 0.2943665107993767, 'EXC': -0.018305084745762683}",{}
2016-10-01,"{'COV': 0.0, 'CTSH': 0.05537737866153509, 'HST': -0.001493651979088973, 'HAR': 0.10256265976431246, 'MCK': -0.234952184511532, 'NRG': -0.05839416058394165, 'KMI': -0.11334002006018061, 'ZTS': -0.07661849138784395, 'MLM': 0.03574522145868237, 'GME': -0.12830777581761438, 'AZO': -0.02767005554973274, 'DG': -0.0027075812274369253, 'SPG': -0.09857543337719543, 'PDCO': -0.0576428203808544, 'MOS': -0.039621016365202336, 'VFC': -0.031051964512040682, 'AMZN': -0.055239234449760706, 'FCX': 0.01879699248120294, 'GRMN': 0.014841849148418478, 'NI': -0.02601021830004655}",{}
2016-11-01,"{'DNR': 0.5303643724696354, 'GNW': 0.028846153846153872, 'COV': 0.0, 'AMZN': -0.06061326658322897, 'HOT': 0.22384428223844283, 'CHK': 0.26582278481012656, 'HES': 0.15328305235137543, 'VZ': 0.032663924510041166, 'BMY': 0.10828583954405974, 'EMR': 0.1085152838427949, 'EMC': -0.03196063603060333, 'PEAK': -0.034117647058823565, 'CMG': 0.10006106361718667, 'MU': 0.13546511627906987, 'DO': 0.062352941176470514, 'REGN': 0.09759203519333187, 'CBRE': 0.12383900928792567, 'TJX': 0.07086842869590466, 'RIG': 0.3285272914521111, 'NEM': -0.13938179736691464}",{}
