,long,short
2015-01-01,"{'COV': 0.0, 'TT': 4.333333333333334, 'GAS': 0.09219858156028368, 'HAR': 0.02105211038741824, 'ROP': -0.013158764795344712, 'PSA': 0.08360655737704918, 'LM': 0.0279193441169953, 'FITB': -0.15228720324261721, 'AVB': 0.0543896594292352, 'KR': 0.07724137931034478, 'VRSN': -0.04805172112528394, 'YUM': -0.008145766345123161, 'CTSH': 0.02340676632572773, 'CSX': -0.0778863775198534, 'WYNN': -0.004346499923745564, 'NEM': 0.3484848484848485, 'KLAC': -0.12958395000822237, 'CHK': -0.007477642551508026, 'MDLZ': -0.032701711491442555, 'MYL': -0.05995755217545102}",{}
2015-02-01,"{'COV': 0.0, 'TT': -0.75, 'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'NBR': 0.09956631731116727, 'DISCA': 0.10768175582990387, 'GWW': 0.018150388936905796, 'BLK': 0.08482458800930125, 'HAR': -0.02061805678010932, 'MU': 0.04854700854700861, 'LEN': 0.1155176389209132, 'NBL': -0.027522935779816446, 'VAR': 0.009534422981674047, 'HST': -0.0835164835164835, 'MCO': 0.07195179584120986, 'AMCR': 0.04182509505703434, 'MOS': 0.08881278538812787, 'AMZN': 0.08601628338808745, 'BBBY': -0.0036923076923076137, 'AAPL': 0.09247590808005934}",{}
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'GPC': -0.024593172641624923, 'DUK': -0.021696891191709786, 'CHK': -0.1510792017706267, 'WFC': -0.0072005236744490135, 'STX': -0.15004472271914135, 'EMC': 0.015872843127118823, 'AIZ': 0.002201834862385274, 'PNW': -0.002813731007315807, 'TWX': 0.03417023882424975, 'THC': 0.07141311404457903, 'FOSL': -0.03758608614450798, 'DISCK': -0.03691604050963734, 'VTR': -0.012832550860719879, 'UNP': -0.0993619816100582, 'DO': -0.12536890255010616, 'URBN': 0.17291880781089405, 'CA': 0.002751977984176068, 'HPQ': -0.09567901234567902}",{}
2015-04-01,"{'TT': -0.8125, 'COV': 0.0, 'NFLX': 0.33299798792756535, 'NEM': 0.21332670313276972, 'MAT': 0.2328148519819368, 'DNR': 0.1970052724077329, 'CHK': 0.09781863367873672, 'EMN': 0.10516542876434835, 'GNW': 0.20741758241758226, 'ADSK': -0.014736477115117916, 'POM': -0.028169192025537096, 'FOSL': 0.020165208940719277, 'OI': 0.024486226497595045, 'PM': 0.10880557977332174, 'NTAP': 0.028580603725112414, 'CTL': 0.0420009438414345, 'HPQ': 0.0350584307178631, 'AET': 0.004288917048445245, 'RTX': -0.030961182994454793, 'MO': -0.002348030263501078}",{}
2015-05-01,"{'COV': 0.3333333333333334, 'AMCR': 0.0, 'CSC': 0.0, 'TT': 0.0, 'POM': 0.10144993478326803, 'CHRW': -0.046075683251576655, 'JWN': -0.03211776513884245, 'RCL': 0.12244224422442235, 'IFF': 0.030839133797370435, 'AMAT': 0.014762165117550552, 'VTR': -0.03411764705882355, 'MSI': -0.01863124884707615, 'FIS': 0.0, 'EW': 0.028315243039169317, 'BIIB': 0.051573426573426645, 'GLW': 0.0010893246187363603, 'TEL': 0.03564257028112454, 'DHI': 0.0254590984974958, 'IP': -0.03174603174603164, 'PHM': -0.010614525139664679}",{}
2015-06-01,"{'TT': 0.0, 'COV': 0.0, 'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'BIIB': 0.012710908315992663, 'FCX': -0.05733824302998421, 'QEP': -0.020640103092225293, 'CNX': -0.21818181818181828, 'NBR': -0.017679837092929716, 'CHK': -0.2083628632175762, 'GNW': -0.041772151898734185, 'HES': -0.0008238589553467978, 'WHR': -0.06273525721455457, 'NWSA': -0.039857651245551635, 'CTL': -0.1162005785920926, 'HOT': 0.02962962962962963, 'PPL': -0.07799999999999997, 'POM': -0.055553825230219823, 'SYK': -0.00784790538299982, 'MCO': -0.0037350108118733585}",{}
2015-07-01,"{'COV': 0.0, 'NBR': -0.19263392137259325, 'NEM': -0.26166044776119407, 'IRM': -0.029130632680928567, 'AVP': -0.10147299509001638, 'SWN': -0.18169819621645397, 'CHK': -0.22678571428571428, 'DNR': -0.37953631454985337, 'CSCO': 0.03637141634574231, 'NE': -0.19671525468626927, 'PPL': 0.07241379310344827, 'MU': -0.02834645669291334, 'AMAT': -0.10207515423443617, 'NRG': -0.017249417249417295, 'NWSA': 0.0, 'POM': -0.014705947015499687, 'GNW': -0.08604954367666234, 'JNPR': 0.0798640611724725, 'CNX': -0.23692992213570632, 'DO': -0.14691081088513408}",{}
2015-08-01,"{'TT': 4.333333333333334, 'COV': 0.0, 'NBR': 0.013172092265722078, 'DNR': 0.13221329437545645, 'BIIB': -0.07189460868479372, 'MON': -0.0397285868816992, 'FB': -0.043836202288035864, 'CI': -0.0234044030835475, 'HUM': 0.0015885623510722862, 'LIN': -0.07318030213851279, 'POM': 0.029848648142074042, 'CPRI': 0.04975845410628025, 'FDX': -0.12163497159792551, 'GILD': -0.11338090118268017, 'ORCL': -0.0716603569497025, 'XYL': -0.055452292441140104, 'TDC': -0.211916958748989, 'HAL': -0.042830035239902364, 'TRIP': -0.11954674220963171, 'MSFT': -0.06749764816556925}",{}
2015-09-01,"{'COV': 0.0, 'POM': -0.014490681157347847, 'HAR': 0.0, 'DNR': -0.41486810551558756, 'REGN': -0.06839712391596073, 'FB': 0.035118019573978254, 'WAT': -0.007556040634707461, 'LH': -0.0624891961970614, 'FFIV': -0.024924216908049916, 'MNK': -0.24142840194566387, 'BIIB': -0.0014030524946958625, 'TMO': -0.004630395237307775, 'NBR': -0.14076652130157663, 'WYNN': -0.27127172918572734, 'AON': -0.03095403095403087, 'XRX': -0.016688625384277515, 'BDX': -0.037936384794414274, 'GAS': -0.084, 'AMZN': 0.02554393556917899, 'MET': -0.02709427702515908}",{}
2015-10-01,"{'TT': 4.333333333333334, 'COV': 0.0, 'DNR': 0.39920948616600804, 'REGN': 0.20124566280899117, 'AMZN': 0.22485322896281795, 'NBR': 0.038272605875620015, 'AVP': 0.23510971786833856, 'GOOG': 0.16838437135295944, 'ISRG': 0.07956694710754574, 'GD': 0.08199773352760224, 'IFF': 0.11518435872914679, 'VRTX': 0.20872093023255806, 'SPGI': 0.07171606293450433, 'POM': 0.0, 'SWK': 0.09322033898305085, 'HAR': 0.04838765298416105, 'AMT': 0.16236116310994642, 'GOOGL': 0.1558924036743266, 'HAL': 0.06989748369058714, 'PRGO': -0.008082146406094726}",{}
2015-11-01,"{'COV': 0.0, 'CNX': 0.1948998178506374, 'CMG': -0.04991803278688532, 'CMI': -0.020367054610563935, 'ES': -0.00045413260672107225, 'PVH': 0.004208660981282484, 'WEC': -0.02553485162180813, 'MCO': 0.0890801385939421, 'EQT': -0.12762892538173437, 'STX': -0.03340440653873494, 'UNP': -0.05440479161467431, 'SYY': 0.0027716186252772015, 'EXPD': -0.023146163737676775, 'FLR': 0.025451180009255007, 'BKR': 0.026116003644093513, 'PNC': 0.05154639175257721, 'MYL': 0.14330287497214175, 'PRGO': -0.06643425639676376, 'CNP': -0.07260726072607258, 'ABC': 0.01505184524473195}",{}
2015-12-01,"{'TT': 0.25000000000000006, 'COV': 0.0, 'ATI': -0.10941271118262265, 'CHK': -0.1461100569259962, 'PCAR': -0.04652266793258962, 'KMI': -0.3680203045685279, 'FCX': -0.18000000000000005, 'PRU': -0.0642201834862385, 'SPG': 0.039578348315333405, 'NTAP': -0.12407680945347119, 'ES': 0.013901549680948026, 'PVH': -0.1927830500993158, 'XRX': 0.0073921971252566615, 'THC': -0.09525231412361902, 'LUV': -0.06240036438168971, 'BEN': -0.12122093023255809, 'CCI': 0.01358281358281344, 'J': -0.04896907216494837, 'DISCK': -0.14768502872592096, 'PEG': -0.005728067530901562}",{}
2016-01-01,"{'DNR': -0.22388059701492527, 'COV': 0.0, 'TT': 4.333333333333334, 'HAR': 0.06666635703703014, 'CMG': -0.033560913164070755, 'ORLY': 0.05011068625477959, 'HES': -0.12186865267434, 'HOT': 0.1346938775510204, 'ADS': -0.26321513186002266, 'PVH': 0.009138742730545508, 'FCX': -0.30312500000000003, 'COL': 0.2776726584673605, 'GNW': -0.24043715846994543, 'DOV': -0.027835288704853942, 'SHW': -0.006381594992277138, 'JEF': -0.027586206896551748, 'AMG': -0.13490691489361697, 'WU': 0.016096579476861182, 'MPC': -0.1913691821057388, 'MOS': -0.11788132218239748}",{}
2016-02-01,"{'COV': 0.0, 'DNR': -0.09859154929577459, 'GNW': -0.22627737226277375, 'HAR': 0.2653039027511197, 'POM': 0.015873091206796173, 'REGN': -0.07950813777894968, 'RF': -0.0759493670886076, 'HBAN': 0.02213001383125854, 'NBR': 0.0028233180403606003, 'FCX': 0.6949541284403667, 'DVN': -0.2718293164757013, 'CF': 0.23200312989045382, 'NTAP': 0.14490527393753191, 'CMG': 0.06939427035201214, 'AN': 0.19948729899790266, 'AMCR': 0.02244039270687239, 'EFX': -0.0016077170418006088, 'MMM': 0.05806255231717522, 'LM': -0.042270058708414944, 'MRK': -0.0036347114947751858}",{}
2016-03-01,"{'TT': 3.0, 'COV': 0.0, 'DNR': 0.6946564885496184, 'HES': 0.2082813669244199, 'SWN': 0.3654822335025381, 'ZTS': 0.0684523809523809, 'CBRE': 0.12140077821011677, 'CPRI': -0.0005264081417792794, 'POM': 0.569228787694091, 'KEY': 0.04108108108108117, 'AMZN': 0.06714123928166968, 'CTL': 0.05234297108673982, 'LLY': -0.008596868283696688, 'GE': 0.08086785009861922, 'VNO': 0.08627518512140517, 'PEAK': 0.09246417013407306, 'RCL': 0.09454119713156751, 'DHI': 0.11996873778819853, 'IPG': 0.06637649619151265, 'APH': 0.08229329173166924}",{}
2016-04-01,"{'COV': 0.0, 'KIM': -0.01316386745347266, 'FAST': -0.024847632442569042, 'BSX': 0.1709401709401711, 'COG': 0.05094339622641518, 'MUR': 0.45747236905333977, 'GLW': -0.09703504043126689, 'XRX': -0.13140398904966755, 'JNPR': -0.07879843273835432, 'PWR': 0.06281066425666519, 'HAR': 0.06976715927510976, 'ZION': 0.1467391304347827, 'DO': 0.14596126594237127, 'IRM': 0.09830781627719586, 'MS': 0.09313725490196077, 'FIS': 0.03394039735099345, 'RF': 0.2023289665211062, 'NBL': 0.18181818181818166, 'MOS': 0.04083266613290631, 'WY': 0.04197150558336542}",{}
2016-05-01,"{'COV': 0.0, 'HAR': 0.0869577069953724, 'AVP': -0.17584745762711856, 'RF': 0.040865384615384595, 'AMCR': 0.06941431670281982, 'SWN': 0.03875379939209725, 'GPS': -0.22110817941952504, 'CNX': 0.017488076311605774, 'AES': -0.005274261603375602, 'HOT': 0.4583333333333333, 'NRG': 0.09103448275862071, 'FCX': -0.2102941176470588, 'MRO': -0.06405425772418988, 'BSX': 0.036040145985401416, 'NEM': -0.07550077041602474, 'CNP': 0.06267332224070987, 'HBAN': 0.030127462340672047, 'TPR': -0.026474820143884942, 'STX': 0.10171568627450982, 'PLD': 0.04537521815008727}",{}
2016-06-01,"{'COV': 0.0, 'CHK': 0.0166270783847981, 'AVP': -0.02583979328165377, 'GPS': 0.1828687967369135, 'NE': 0.0012061991325113335, 'CF': -0.1288852051388313, 'ATI': 0.046166529266281835, 'HRL': 0.06255924170616127, 'FLIR': 0.0003419972640219413, 'RIG': 0.2145045965270686, 'PBI': -0.03939766567972131, 'MOS': 0.04729441840647633, 'GLW': -0.010165864098448435, 'M': 0.02854908095424327, 'FOSL': 0.01566393734425067, 'CTL': 0.07240811848601209, 'BLK': -0.04663740882680175, 'PVH': 0.006770553465878664, 'HOG': -0.020463510848126365, 'BA': 0.03067484662576687}",{}
2016-07-01,"{'COV': 0.0, 'GNW': 0.10852713178294565, 'CHK': 0.2752941176470588, 'RF': 0.08689839572192518, 'HBAN': 0.06824146981627302, 'KEY': 0.07476635514018679, 'ADS': 0.1817204878835097, 'POM': 0.021978130298211215, 'ATI': 0.3993685872138911, 'DVN': 0.06391087657578422, 'MAR': 0.07988587731811685, 'BLK': 0.07080709044867217, 'CME': 0.053909318100678345, 'MRO': -0.08345120226308343, 'SWN': 0.14263322884012541, 'NRG': -0.07713498622589526, 'REGN': 0.21810888252149, 'PBCT': 0.050080775444264876, 'CMA': 0.113881961762261, 'PVH': 0.07076627944154322}",{}
2016-08-01,"{'COV': 0.0, 'WMB': 0.17987486965589153, 'GNW': 0.6198630136986303, 'GLW': 0.025870646766169132, 'NRG': -0.12143928035982003, 'TGNA': -0.07109004739336496, 'FAST': 0.007306889352818401, 'T': -0.05477888730385149, 'NWSA': 0.08627773212818411, 'HOT': 0.17551020408163265, 'HIG': 0.035274815422477415, 'CB': 0.02158084042459872, 'FITB': 0.058298631766805505, 'FTR': -0.11538498804986758, 'COL': 0.06925268463729994, 'PBCT': 0.07071483474250576, 'NTRS': 0.050470626419993614, 'HST': 0.00996677740863778, 'KMI': 0.08796296296296294, 'DVA': -0.1674610331057581}",{}
2016-09-01,"{'COV': 0.0, 'HAR': -0.07142821598650456, 'RIG': 0.11041666666666672, 'BMY': -0.06381733021077289, 'FCX': 0.052999999999999936, 'TT': 0.0, 'NUE': 0.025439407955596703, 'HES': 0.002818602778337036, 'NE': 0.09688581314878886, 'PSA': 0.0033114296062502525, 'NI': 0.008411214953271016, 'MLM': -0.019186145226102135, 'AVY': 0.00823447313328666, 'AZO': 0.03239589911720841, 'PFE': -0.02484266313348791, 'ADS': 0.04832484174772264, 'SCHW': -0.0019907100199071754, 'DLTR': -0.041995387789780236, 'APA': 0.2943665107993767, 'DVA': 0.024182297318245047}",{}
2016-10-01,"{'COV': 0.0, 'TT': 0.0, 'GME': -0.12830777581761438, 'CTSH': 0.05537737866153509, 'ZTS': -0.07661849138784395, 'NRG': -0.05839416058394165, 'MCK': -0.234952184511532, 'MLM': 0.03574522145868237, 'HST': -0.001493651979088973, 'SPG': -0.09857543337719543, 'KMI': -0.11334002006018061, 'MOS': -0.039621016365202336, 'FOSL': -0.011956521739130501, 'LOW': -0.07045827735482896, 'PDCO': -0.0576428203808544, 'DG': -0.0027075812274369253, 'HAR': 0.10256265976431246, 'POM': 0.12195188652585723, 'DISCK': -0.041968714231209514, 'DNR': -0.2779456193353474}",{}
2016-11-01,"{'COV': 0.0, 'DNR': 0.5303643724696354, 'TT': 0.0, 'HES': 0.15328305235137543, 'GNW': 0.028846153846153872, 'AMZN': -0.06061326658322897, 'HOT': 0.22384428223844283, 'EMR': 0.1085152838427949, 'CHK': 0.26582278481012656, 'BMY': 0.10828583954405974, 'CMG': 0.10006106361718667, 'KMI': 0.07619047619047616, 'SWN': 0.10623781676413255, 'DO': 0.062352941176470514, 'AN': 0.024077046548956597, 'RIG': 0.3285272914521111, 'MU': 0.13546511627906987, 'JNPR': 0.07136788445199659, 'CBRE': 0.12383900928792567, 'VZ': 0.032663924510041166}",{}
2016-12-01,"{'COV': 0.0, 'CTL': 0.010290556900726496, 'TT': 0.0, 'AMZN': -0.003375819034834683, 'THC': -0.025607353906763004, 'AME': 0.020425714900021562, 'WFC': 0.03717948717948722, 'ZBH': 0.016209097355891083, 'TRIP': -0.040707141195626885, 'MNST': -0.0035955056179774515, 'FMC': 0.0025845358604350086, 'GNW': -0.11805555555555561, 'DVN': -0.0765794511805999, 'AVP': -0.059813084112149424, 'FTR': -0.03998770026634348, 'NFX': -0.1297808336914482, 'GRMN': -0.06048476762285966, 'STI': 0.04597225098364048, 'CME': 0.04891853648675969, 'HAL': 0.00343920695933647}",{}
2017-01-01,"{'COV': 0.0, 'FCX': 0.23488905891354248, 'SWN': -0.15, 'WYNN': 0.16326278004703548, 'HOG': -0.028204144282425153, 'TT': 0.0, 'AVP': 0.14035087719298242, 'RL': -0.03114268798105399, 'AMCR': 0.0, 'GPS': 0.013381369016984127, 'FISV': 0.005804156524995362, 'HAR': -0.09091089014851644, 'DIS': 0.05077350257834183, 'GNW': -0.13846153846153847, 'CNX': -0.062416998671978835, 'MYL': -0.011174636174636168, 'T': -0.0008566533409480621, 'NWSA': 0.0639853747714809, 'M': -0.1826689774696708, 'ATI': 0.3372307692307693}",{}
