,long,short
2015-01-01,"{'COV': 0.0, 'GAS': 0.09219858156028368, 'TT': 4.333333333333334, 'HAR': 0.02105211038741824, 'CTSH': 0.02340676632572773, 'ROP': -0.013158764795344712, 'KR': 0.07724137931034478, 'NBR': -0.10217486498321422, 'WYNN': -0.004346499923745564, 'LM': 0.0279193441169953, 'PSA': 0.08360655737704918, 'AVB': 0.0543896594292352, 'PNW': 0.031916769529183604, 'MDLZ': -0.032701711491442555, 'CSX': -0.0778863775198534, 'FITB': -0.15228720324261721, 'VRSN': -0.04805172112528394, 'BEN': -0.07745076344323966, 'LEG': -0.0002808199943835442, 'MYL': -0.05995755217545102, 'DNR': -0.14391177307165207, 'BMY': 0.014092777451556054, 'NAVI': -0.0910186859553948, 'CHK': -0.007477642551508026, 'CINF': -0.028734321550741116, 'LYB': -0.010687022900763267, 'NOC': 0.05841620626151018, 'YUM': -0.008145766345123161, 'PNC': -0.07434384026120812, 'IPG': -0.04395604395604384}",{}
2015-02-01,"{'COV': 0.0, 'TT': -0.75, 'DNR': 0.18805432778151793, 'HAR': -0.02061805678010932, 'GNW': 0.10398860398860406, 'NBR': 0.09956631731116727, 'BLK': 0.08482458800930125, 'MU': 0.04854700854700861, 'GWW': 0.018150388936905796, 'HST': -0.0835164835164835, 'AVP': 0.10540540540540531, 'RF': 0.09466666666666677, 'DISCA': 0.10768175582990387, 'VAR': 0.009534422981674047, 'LEN': 0.1155176389209132, 'CSX': 0.029993408042188533, 'TFC': 0.07908847184986605, 'CPB': 0.019994873109459143, 'AVB': -0.026188835286009533, 'PRGO': 0.017877017250973997, 'MCO': 0.07195179584120986, 'PCG': -0.08697268165768443, 'AMCR': 0.04182509505703434, 'XOM': 0.015564757960873959, 'PGR': 0.04673321234119788, 'GL': 0.06407035175879403, 'NEE': -0.04852071005917165, 'GIS': 0.02167396818077023, 'WBA': 0.14205607476635498, 'MCHP': 0.14282159741229167}",{}
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'EMC': 0.015872843127118823, 'HPQ': -0.09567901234567902, 'DUK': -0.021696891191709786, 'GPC': -0.024593172641624923, 'CHK': -0.1510792017706267, 'WFC': -0.0072005236744490135, 'UNP': -0.0993619816100582, 'URBN': 0.17291880781089405, 'THC': 0.07141311404457903, 'FOSL': -0.03758608614450798, 'TWX': 0.03417023882424975, 'DISCK': -0.03691604050963734, 'DTE': -0.006122144243691154, 'AEE': 0.007607776838545957, 'SO': -0.03320312500000013, 'DGX': 0.09340394800192574, 'AVB': 0.042017401145929105, 'GNW': -0.05677419354838715, 'XEL': -0.0033795201081446916, 'SRE': 0.013963128613504976, 'SRCL': 0.03737903523675853, 'PPG': -0.04177497215001857, 'STX': -0.15004472271914135, 'ETR': -0.021354001898133523, 'WEC': -0.025322503583373204, 'AIZ': 0.002201834862385274, 'VTR': -0.012832550860719879, 'ANTM': 0.05886708626434645}",{}
2015-04-01,"{'TT': -0.8125, 'COV': 0.0, 'POM': -0.028169192025537096, 'NFLX': 0.33299798792756535, 'DNR': 0.1970052724077329, 'CHK': 0.09781863367873672, 'NEM': 0.21332670313276972, 'EMN': 0.10516542876434835, 'MAT': 0.2328148519819368, 'GNW': 0.20741758241758226, 'ADSK': -0.014736477115117916, 'LRCX': 0.07065217391304343, 'FCX': 0.22204037097654122, 'BLK': -0.0015734650848097682, 'HPQ': 0.0350584307178631, 'MNST': -0.011678200692041504, 'PM': 0.10880557977332174, 'AET': 0.004288917048445245, 'CTL': 0.0420009438414345, 'CF': 0.009590792838874589, 'GAS': 0.0, 'NTAP': 0.028580603725112414, 'GLW': -0.07489878542510123, 'WYNN': -0.11931666518373518, 'FAST': 0.038939051918735965, 'AEP': 0.011531069827033934, 'ETR': -0.0016202203499676186, 'ABBV': 0.11481081081081086, 'FOSL': 0.020165208940719277, 'IFF': -0.020020974354085178}",{}
2015-05-01,"{'COV': 0.3333333333333334, 'TT': 0.0, 'POM': 0.10144993478326803, 'RCL': 0.12244224422442235, 'AMAT': 0.014762165117550552, 'EW': 0.028315243039169317, 'BIIB': 0.051573426573426645, 'CHRW': -0.046075683251576655, 'NFX': -0.03422733077905482, 'MSI': -0.01863124884707615, 'FIS': 0.0, 'JWN': -0.03211776513884245, 'PHM': -0.010614525139664679, 'DHI': 0.0254590984974958, 'MNST': -0.07256830601092897, 'TEL': 0.03564257028112454, 'VTR': -0.03411764705882355, 'GLW': 0.0010893246187363603, 'PPG': 0.039026313196018604, 'IFF': 0.030839133797370435, 'CAH': 0.04298960382129795, 'BLK': -0.002034237786749217, 'NKE': 0.023415682062298677, 'MDT': 0.031202665858830695, 'HSY': 0.011567807039133616, 'ITW': -0.00252951096121409, 'ANDV': 0.035182849936948375, 'VLO': 0.0455130957492487, 'BK': 0.017689906347554626, 'KR': 0.05955414012738868}",{}
2015-06-01,"{'TT': 0.0, 'COV': 0.0, 'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'BIIB': 0.012710908315992663, 'CNX': -0.21818181818181828, 'FCX': -0.05733824302998421, 'QEP': -0.020640103092225293, 'NBR': -0.017679837092929716, 'GNW': -0.041772151898734185, 'CTL': -0.1162005785920926, 'BLK': -0.04913204236385288, 'CHK': -0.2083628632175762, 'MCO': -0.0037350108118733585, 'WHR': -0.06273525721455457, 'HES': -0.0008238589553467978, 'COP': -0.047231558464532135, 'CPRI': -0.10408684546615568, 'ROST': 0.006730351715154042, 'F': -0.02104377104377104, 'COL': 0.0013960909453530172, 'NOV': -0.008346145398638316, 'EXC': -0.07591344448385955, 'YUM': 0.002415875754961183, 'PGR': 0.014743049705139066, 'KSS': -0.03713947056499398, 'EXPE': 0.01796173369777434, 'MRO': -0.025386751289170985, 'SYK': -0.00784790538299982, 'PPL': -0.07799999999999997}",{}
2015-07-01,"{'COV': 0.0, 'CHK': -0.22678571428571428, 'NEM': -0.26166044776119407, 'NBR': -0.19263392137259325, 'AVP': -0.10147299509001638, 'DNR': -0.37953631454985337, 'SWN': -0.18169819621645397, 'CSCO': 0.03637141634574231, 'IRM': -0.029130632680928567, 'PPL': 0.07241379310344827, 'MU': -0.02834645669291334, 'BIIB': -0.21928879310344834, 'NE': -0.19671525468626927, 'LUV': 0.06912585244885319, 'NRG': -0.017249417249417295, 'POM': -0.014705947015499687, 'CNX': -0.23692992213570632, 'AVGO': -0.06897140418267189, 'MNK': 0.03810401138933085, 'NWSA': 0.0, 'JNPR': 0.0798640611724725, 'AVY': -0.008482223425374462, 'JPM': 0.00610583446404341, 'MAT': -0.10535481062255107, 'DUK': 0.048312611012433504, 'ANTM': -0.06851984152757037, 'EBAY': 0.09569377990430632, 'XRX': 0.029292107404393915, 'HRB': 0.11300813008130071, 'GNW': -0.08604954367666234}",{}
2015-08-01,"{'TT': 4.333333333333334, 'COV': 0.0, 'NBR': 0.013172092265722078, 'DNR': 0.13221329437545645, 'BIIB': -0.07189460868479372, 'CHK': -0.08761682242990654, 'CI': -0.0234044030835475, 'FB': -0.043836202288035864, 'MON': -0.0397285868816992, 'POM': 0.029848648142074042, 'FCX': -0.08629893238434169, 'NE': 0.10714285714285714, 'CPRI': 0.04975845410628025, 'NAVI': -0.18938775510204084, 'HUM': 0.0015885623510722862, 'SLB': -0.05070339976553332, 'HAR': -0.1285713413032456, 'ORCL': -0.0716603569497025, 'TDC': -0.211916958748989, 'GILD': -0.11338090118268017, 'PXD': -0.01849275836674569, 'XYL': -0.055452292441140104, 'GIS': -0.026251025430680912, 'URI': 0.04318386999699075, 'CBRE': -0.15603584607274631, 'FFIV': -0.07313535384380496, 'LIN': -0.07318030213851279, 'STX': 0.02269692923898516, 'TGNA': -0.19064966605950207, 'HAL': -0.042830035239902364}",{}
2015-09-01,"{'COV': 0.0, 'NBR': -0.14076652130157663, 'BIIB': -0.0014030524946958625, 'POM': -0.014490681157347847, 'DNR': -0.41486810551558756, 'FB': 0.035118019573978254, 'HAR': 0.0, 'WAT': -0.007556040634707461, 'MNK': -0.24142840194566387, 'LH': -0.0624891961970614, 'REGN': -0.06839712391596073, 'FFIV': -0.024924216908049916, 'WYNN': -0.27127172918572734, 'TMO': -0.004630395237307775, 'AON': -0.03095403095403087, 'AMZN': 0.02554393556917899, 'XRX': -0.016688625384277515, 'PRGO': -0.13188346804675238, 'FDX': -0.025397052511088935, 'GAS': -0.084, 'PWR': 0.02739726027397263, 'HBAN': -0.0033594624860021683, 'PXD': 0.020829746944396516, 'GS': -0.05684951598709298, 'GILD': -0.03558073654390936, 'ROP': -0.01318267419962336, 'INTU': 0.06475543819942167, 'AGN': -0.09103140601210911, 'IBM': 0.00042531473290232356, 'CVS': -0.04138086135162495}",{}
2015-10-01,"{'TT': 4.333333333333334, 'COV': 0.0, 'DNR': 0.39920948616600804, 'NBR': 0.038272605875620015, 'REGN': 0.20124566280899117, 'AMZN': 0.22485322896281795, 'AVP': 0.23510971786833856, 'VRTX': 0.20872093023255806, 'SPGI': 0.07171606293450433, 'POM': 0.0, 'HAR': 0.04838765298416105, 'ISRG': 0.07956694710754574, 'SNA': 0.09783005771900333, 'PRGO': -0.008082146406094726, 'LLY': -0.024327611839437727, 'IFF': 0.11518435872914679, 'HAL': 0.06989748369058714, 'FB': 0.13237090505274848, 'CAG': 0.009733237202595644, 'OKE': 0.06311475409836077, 'CI': -0.004387595746263132, 'SRCL': -0.13356653340948035, 'SWK': 0.09322033898305085, 'ROP': 0.18425701760125626, 'TMO': 0.06589949499130718, 'EFX': 0.09599477579451467, 'TPR': 0.08062525709584537, 'PBI': 0.03820828164999607, 'GAS': 0.021834061135371178, 'PWR': -0.1719269102990032}",{}
