,long,short
2015-01-01,"{'COV': 0.0, 'TT': 4.333333333333334, 'HAR': 0.02105211038741824, 'GAS': 0.09219858156028368, 'LM': 0.0279193441169953, 'PSA': 0.08360655737704918, 'ROP': -0.013158764795344712, 'CTSH': 0.02340676632572773, 'WYNN': -0.004346499923745564, 'AVB': 0.0543896594292352, 'FITB': -0.15228720324261721, 'KR': 0.07724137931034478, 'CSX': -0.0778863775198534, 'BEN': -0.07745076344323966, 'ABBV': -0.070677570093458, 'EMR': -0.07925043919578363, 'NAVI': -0.0910186859553948, 'VRSN': -0.04805172112528394, 'CINF': -0.028734321550741116, 'NKE': -0.044479213232007195}",{}
2015-02-01,"{'COV': 0.0, 'TT': -0.75, 'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'NBR': 0.09956631731116727, 'DISCA': 0.10768175582990387, 'BLK': 0.08482458800930125, 'MU': 0.04854700854700861, 'EMC': 0.015872843127118823, 'NBL': -0.027522935779816446, 'HAR': -0.02061805678010932, 'MCO': 0.07195179584120986, 'GL': 0.06407035175879403, 'CPB': 0.019994873109459143, 'VAR': 0.009534422981674047, 'GWW': 0.018150388936905796, 'BKNG': 0.22280632411067194, 'HST': -0.0835164835164835, 'TFC': 0.07908847184986605, 'TJX': 0.04674796747967477}",{}
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'EMC': 0.015872843127118823, 'GPC': -0.024593172641624923, 'DUK': -0.021696891191709786, 'CHK': -0.1510792017706267, 'STX': -0.15004472271914135, 'WFC': -0.0072005236744490135, 'AIZ': 0.002201834862385274, 'THC': 0.07141311404457903, 'UNP': -0.0993619816100582, 'PNW': -0.002813731007315807, 'DTE': -0.006122144243691154, 'FOSL': -0.03758608614450798, 'NRG': 0.050337078651685435, 'VTR': -0.012832550860719879, 'DISCK': -0.03691604050963734, 'AEE': 0.007607776838545957, 'PVH': 0.004561436852608475, 'SRCL': 0.03737903523675853}",{}
2015-04-01,"{'TT': -0.8125, 'COV': 0.0, 'NFLX': 0.33299798792756535, 'DNR': 0.1970052724077329, 'EMN': 0.10516542876434835, 'CHK': 0.09781863367873672, 'NEM': 0.21332670313276972, 'BSX': 0.003943661971831002, 'POM': -0.028169192025537096, 'GNW': 0.20741758241758226, 'MAT': 0.2328148519819368, 'FOSL': 0.020165208940719277, 'ADSK': -0.014736477115117916, 'OI': 0.024486226497595045, 'NTAP': 0.028580603725112414, 'RTX': -0.030961182994454793, 'FMC': 0.034965034965034995, 'OXY': 0.07923736225292988, 'AET': 0.004288917048445245, 'LRCX': 0.07065217391304343}",{}
2015-05-01,"{'TT': 0.0, 'COV': 0.3333333333333334, 'POM': 0.10144993478326803, 'CHRW': -0.046075683251576655, 'JWN': -0.03211776513884245, 'AMAT': 0.014762165117550552, 'VTR': -0.03411764705882355, 'TEL': 0.03564257028112454, 'BIIB': 0.051573426573426645, 'RCL': 0.12244224422442235, 'EW': 0.028315243039169317, 'MSI': -0.01863124884707615, 'FIS': 0.0, 'IP': -0.03174603174603164, 'VLO': 0.0455130957492487, 'XRX': -0.011342155009451823, 'CTSH': 0.10340546293011703, 'DHI': 0.0254590984974958, 'ITW': -0.00252951096121409, 'GIS': 0.011499240616185593}",{}
2015-06-01,"{'TT': 0.0, 'COV': 0.0, 'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'GNW': -0.041772151898734185, 'NBR': -0.017679837092929716, 'CNX': -0.21818181818181828, 'CHK': -0.2083628632175762, 'BIIB': 0.012710908315992663, 'FCX': -0.05733824302998421, 'QEP': -0.020640103092225293, 'SYK': -0.00784790538299982, 'WHR': -0.06273525721455457, 'NWSA': -0.039857651245551635, 'HES': -0.0008238589553467978, 'CSX': -0.04626675175494573, 'CTL': -0.1162005785920926, 'MRO': -0.025386751289170985, 'FTR': -0.04624376796395898, 'COL': 0.0013960909453530172}",{}
2015-07-01,"{'COV': 0.0, 'TT': -0.5714285714285715, 'NBR': -0.19263392137259325, 'CHK': -0.22678571428571428, 'NEM': -0.26166044776119407, 'NE': -0.19671525468626927, 'DNR': -0.37953631454985337, 'SWN': -0.18169819621645397, 'IRM': -0.029130632680928567, 'MU': -0.02834645669291334, 'AVP': -0.10147299509001638, 'CSCO': 0.03637141634574231, 'PPL': 0.07241379310344827, 'POM': -0.014705947015499687, 'CNX': -0.23692992213570632, 'JPM': 0.00610583446404341, 'NRG': -0.017249417249417295, 'GNW': -0.08604954367666234, 'DO': -0.14691081088513408, 'MON': -0.04597378277153555}",{}
2015-08-01,"{'TT': 4.333333333333334, 'COV': 0.0, 'NBR': 0.013172092265722078, 'DNR': 0.13221329437545645, 'BIIB': -0.07189460868479372, 'MON': -0.0397285868816992, 'FB': -0.043836202288035864, 'HUM': 0.0015885623510722862, 'LIN': -0.07318030213851279, 'POM': 0.029848648142074042, 'CPRI': 0.04975845410628025, 'FDX': -0.12163497159792551, 'GILD': -0.11338090118268017, 'REGN': -0.08052357333428836, 'CI': -0.0234044030835475, 'HAR': -0.1285713413032456, 'ORCL': -0.0716603569497025, 'HAL': -0.042830035239902364, 'XYL': -0.055452292441140104, 'CHK': -0.08761682242990654}",{}
2015-09-01,"{'COV': 0.0, 'POM': -0.014490681157347847, 'DNR': -0.41486810551558756, 'HAR': 0.0, 'FB': 0.035118019573978254, 'MNK': -0.24142840194566387, 'WYNN': -0.27127172918572734, 'LH': -0.0624891961970614, 'WAT': -0.007556040634707461, 'FFIV': -0.024924216908049916, 'REGN': -0.06839712391596073, 'NBR': -0.14076652130157663, 'TMO': -0.004630395237307775, 'XRX': -0.016688625384277515, 'AON': -0.03095403095403087, 'BDX': -0.037936384794414274, 'NAVI': -0.09053497942386839, 'BIIB': -0.0014030524946958625, 'CVS': -0.04138086135162495, 'PXD': 0.020829746944396516}",{}
2015-10-01,"{'TT': 4.333333333333334, 'COV': 0.0, 'DNR': 0.39920948616600804, 'REGN': 0.20124566280899117, 'NBR': 0.038272605875620015, 'AMZN': 0.22485322896281795, 'AVP': 0.23510971786833856, 'GOOG': 0.16838437135295944, 'VRTX': 0.20872093023255806, 'HAL': 0.06989748369058714, 'SPGI': 0.07171606293450433, 'OKE': 0.06311475409836077, 'ISRG': 0.07956694710754574, 'GD': 0.08199773352760224, 'AMT': 0.16236116310994642, 'POM': 0.0, 'SYK': 0.01190075221735716, 'IFF': 0.11518435872914679, 'SWK': 0.09322033898305085, 'EFX': 0.09599477579451467}",{}
