,long,short
2015-01-01,"{'COV': 0.0, 'CSC': 0.0, 'AMCR': -0.12235817575083431, 'GAS': 0.09219858156028368, 'HAR': 0.02105211038741824, 'EMC': -0.0327865167276427, 'VRSN': -0.04805172112528394, 'CTSH': 0.02340676632572773, 'ROP': -0.013158764795344712, 'LEG': -0.0002808199943835442, 'KR': 0.07724137931034478, 'BWA': -0.02222222222222227, 'FFIV': -0.15259641664136042, 'WYNN': -0.004346499923745564, 'FITB': -0.15228720324261721, 'PSA': 0.08360655737704918, 'IPG': -0.04395604395604384, 'AVB': 0.0543896594292352, 'CHK': -0.007477642551508026, 'MDLZ': -0.032701711491442555}",{}
2015-02-01,"{'COV': 0.0, 'GNW': 0.10398860398860406, 'DNR': 0.18805432778151793, 'AVP': 0.10540540540540531, 'EMC': 0.015872843127118823, 'RF': 0.09466666666666677, 'GWW': 0.018150388936905796, 'HAR': -0.02061805678010932, 'NBR': 0.09956631731116727, 'MU': 0.04854700854700861, 'DISCA': 0.10768175582990387, 'BLK': 0.08482458800930125, 'HST': -0.0835164835164835, 'EIX': -0.055654338549075436, 'TJX': 0.04674796747967477, 'VAR': 0.009534422981674047, 'ED': -0.0794912559618442, 'CSX': 0.029993408042188533, 'BBBY': -0.0036923076923076137, 'ANDV': 0.1275435563239793}",{}
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'HPQ': -0.09567901234567902, 'CHK': -0.1510792017706267, 'GPC': -0.024593172641624923, 'DUK': -0.021696891191709786, 'EMC': 0.015872843127118823, 'UNP': -0.0993619816100582, 'STX': -0.15004472271914135, 'PPG': -0.04177497215001857, 'WFC': -0.0072005236744490135, 'URBN': 0.17291880781089405, 'FOSL': -0.03758608614450798, 'WEC': -0.025322503583373204, 'XEL': -0.0033795201081446916, 'AEE': 0.007607776838545957, 'MNST': -0.0265878877400295, 'NRG': 0.050337078651685435, 'PKI': 0.08823529411764715, 'AVB': 0.042017401145929105}",{}
2015-04-01,"{'TT': -0.8125, 'DNR': 0.1970052724077329, 'POM': -0.028169192025537096, 'NFLX': 0.33299798792756535, 'BLK': -0.0015734650848097682, 'CHK': 0.09781863367873672, 'NEM': 0.21332670313276972, 'GNW': 0.20741758241758226, 'EMN': 0.10516542876434835, 'MAT': 0.2328148519819368, 'EMC': 0.08064426947405658, 'FOSL': 0.020165208940719277, 'ADSK': -0.014736477115117916, 'OI': 0.024486226497595045, 'AET': 0.004288917048445245, 'GLW': -0.07489878542510123, 'LRCX': 0.07065217391304343, 'FMC': 0.034965034965034995, 'HES': 0.12283820914821403, 'APA': 0.1266034578918015}",{}
2015-05-01,"{'TT': 0.0, 'POM': 0.10144993478326803, 'AMAT': 0.014762165117550552, 'RCL': 0.12244224422442235, 'FIS': 0.0, 'EW': 0.028315243039169317, 'BIIB': 0.051573426573426645, 'NFX': -0.03422733077905482, 'JWN': -0.03211776513884245, 'TEL': 0.03564257028112454, 'CHRW': -0.046075683251576655, 'MSI': -0.01863124884707615, 'GLW': 0.0010893246187363603, 'MNST': -0.07256830601092897, 'DHI': 0.0254590984974958, 'IFF': 0.030839133797370435, 'PHM': -0.010614525139664679, 'EFX': 0.03029642545771579, 'LEN': 0.019959174415967236, 'BLK': -0.002034237786749217}",{}
2015-06-01,"{'TT': 0.0, 'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'BIIB': 0.012710908315992663, 'GNW': -0.041772151898734185, 'CNX': -0.21818181818181828, 'QEP': -0.020640103092225293, 'CHK': -0.2083628632175762, 'FCX': -0.05733824302998421, 'NWSA': -0.039857651245551635, 'MCO': -0.0037350108118733585, 'HOT': 0.02962962962962963, 'NBR': -0.017679837092929716, 'COP': -0.047231558464532135, 'XOM': -0.024044032444959597, 'WHR': -0.06273525721455457, 'GOOG': -0.030328433838186206, 'CPRI': -0.10408684546615568, 'BLK': -0.04913204236385288, 'ESS': -0.041314553990610264}",{}
2015-07-01,"{'AVP': -0.10147299509001638, 'NEM': -0.26166044776119407, 'DNR': -0.37953631454985337, 'CHK': -0.22678571428571428, 'MU': -0.02834645669291334, 'SWN': -0.18169819621645397, 'IRM': -0.029130632680928567, 'CSCO': 0.03637141634574231, 'PPL': 0.07241379310344827, 'ADSK': -0.0001976675232260351, 'BIIB': -0.21928879310344834, 'NE': -0.19671525468626927, 'LUV': 0.06912585244885319, 'NRG': -0.017249417249417295, 'POM': -0.014705947015499687, 'NWSA': 0.0, 'CNX': -0.23692992213570632, 'JNPR': 0.0798640611724725, 'NBR': -0.19263392137259325, 'XRX': 0.029292107404393915}",{}
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'NBR': 0.013172092265722078, 'BIIB': -0.07189460868479372, 'CHK': -0.08761682242990654, 'MON': -0.0397285868816992, 'FCX': -0.08629893238434169, 'HUM': 0.0015885623510722862, 'ADS': -0.06568980029076436, 'CI': -0.0234044030835475, 'NAVI': -0.18938775510204084, 'FB': -0.043836202288035864, 'GILD': -0.11338090118268017, 'CPRI': 0.04975845410628025, 'LIN': -0.07318030213851279, 'XYL': -0.055452292441140104, 'POM': 0.029848648142074042, 'COV': 0.0, 'PXD': -0.01849275836674569, 'NE': 0.10714285714285714}",{}
2015-09-01,"{'NBR': -0.14076652130157663, 'POM': -0.014490681157347847, 'BIIB': -0.0014030524946958625, 'DNR': -0.41486810551558756, 'HAR': 0.0, 'WYNN': -0.27127172918572734, 'MNK': -0.24142840194566387, 'WAT': -0.007556040634707461, 'LH': -0.0624891961970614, 'FFIV': -0.024924216908049916, 'AON': -0.03095403095403087, 'FB': 0.035118019573978254, 'FDX': -0.025397052511088935, 'HBAN': -0.0033594624860021683, 'GS': -0.05684951598709298, 'TMO': -0.004630395237307775, 'COV': 0.0, 'ROP': -0.01318267419962336, 'BDX': -0.037936384794414274, 'NAVI': -0.09053497942386839}",{}
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'NBR': 0.038272605875620015, 'POM': 0.0, 'AVP': 0.23510971786833856, 'VRTX': 0.20872093023255806, 'REGN': 0.20124566280899117, 'SNA': 0.09783005771900333, 'ROP': 0.18425701760125626, 'SPGI': 0.07171606293450433, 'HAL': 0.06989748369058714, 'SWK': 0.09322033898305085, 'PRGO': -0.008082146406094726, 'ISRG': 0.07956694710754574, 'IFF': 0.11518435872914679, 'EFX': 0.09599477579451467, 'CNX': -0.3284848484848485, 'HAR': 0.04838765298416105, 'FDX': 0.08454532099309549, 'SRCL': -0.13356653340948035}",{}
2015-11-01,"{'CNX': 0.1948998178506374, 'CMG': -0.04991803278688532, 'COV': 0.0, 'AKAM': -0.0513749382512761, 'R': -0.0752284595300261, 'PRGO': -0.06643425639676376, 'PVH': 0.004208660981282484, 'CMI': -0.020367054610563935, 'PWR': 0.0995975855130785, 'HOG': -0.010861865407319973, 'UHS': -0.00540585495675309, 'WDC': -0.0662671836446952, 'IQV': 0.06234374999999992, 'DO': 0.09598992638512183, 'FOSL': -0.2916589946602836, 'PNC': 0.05154639175257721, 'BKR': 0.026116003644093513, 'UNP': -0.05440479161467431, 'POM': 0.0, 'DG': -0.03531974482651309}",{}
2015-12-01,"{'TT': 0.25000000000000006, 'CHK': -0.1461100569259962, 'FCX': -0.18000000000000005, 'KMI': -0.3680203045685279, 'PCAR': -0.04652266793258962, 'EMC': -0.009259161289913028, 'AVP': 0.1882352941176471, 'XRX': 0.0073921971252566615, 'SPG': 0.039578348315333405, 'J': -0.04896907216494837, 'PRU': -0.0642201834862385, 'ZION': -0.09304851556842868, 'PVH': -0.1927830500993158, 'WMT': 0.045385202135774266, 'DVN': -0.30130597014925375, 'ES': 0.013901549680948026, 'THC': -0.09525231412361902, 'MYL': 0.04221279876638392, 'PFG': -0.12456827078056636, 'SEE': -0.011393306432471018}",{}
2016-01-01,"{'DNR': -0.22388059701492527, 'TT': 4.333333333333334, 'FCX': -0.30312500000000003, 'HAR': 0.06666635703703014, 'HOT': 0.1346938775510204, 'CMG': -0.033560913164070755, 'HES': -0.12186865267434, 'BAX': -0.028141543605461075, 'PVH': 0.009138742730545508, 'MDLZ': -0.022371364653243814, 'GPS': 0.024961793173713807, 'AMG': -0.13490691489361697, 'CHK': -0.23648648648648649, 'CSX': -0.09264768380790478, 'LUV': -0.09806872335089031, 'ADM': -0.0210997442455243, 'MRO': -0.2252328535139712, 'ABT': -0.13310069790628107, 'COL': 0.2776726584673605, 'JEF': -0.027586206896551748}",{}
2016-02-01,"{'DNR': -0.09859154929577459, 'FCX': 0.6949541284403667, 'GNW': -0.22627737226277375, 'ADS': 0.050658241179568214, 'POM': 0.015873091206796173, 'HBAN': 0.02213001383125854, 'COV': 0.0, 'REGN': -0.07950813777894968, 'NAVI': 0.13852242744063334, 'RF': -0.0759493670886076, 'AN': 0.19948729899790266, 'NBR': 0.0028233180403606003, 'CMG': 0.06939427035201214, 'DVN': -0.2718293164757013, 'OXY': 0.020678092399403863, 'EFX': -0.0016077170418006088, 'NSC': 0.05220125786163522, 'HAR': 0.2653039027511197, 'GME': 0.17633182330715513, 'SBUX': -0.037156704361873995}",{}
