,Portfolio,S&P
tickers,"['WEC', 'DISCK', 'EXPE', 'SJM', 'BBBY', 'PCG', 'IBM', 'PCAR', 'RSG', 'HES', 'RTX', 'ISRG', 'CPB', 'NWSA', 'DD', 'NUE', 'AON', 'CAG', 'JNPR', 'CAH', 'WELL', 'LNC', 'EBAY', 'LM', 'MA', 'VRSN', 'APH', 'MCK', 'KR', 'DISCA', 'C', 'WFC', 'CMG', 'BK', 'MYL', 'THC', 'PNC', 'URI', 'A', 'TROW', 'BAC', 'BDX', 'ICE', 'WY', 'GPC', 'SHW', 'PSX', 'EOG', 'FLIR', 'ETR', 'AMT', 'AGN', 'EW', 'JPM', 'HRB', 'AXP', 'GOOG', 'HUM', 'RRC', 'STX', 'FCX', 'RIG', 'AEE', 'M', 'STZ', 'KEY', 'PPG', 'DHR', 'MOS', 'APD', 'GD', 'FLS', 'NOC', 'KSS', 'SPGI', 'DO', 'CERN', 'VLO', 'EA', 'UNM', 'FMC', 'CSC', 'AME', 'FITB', 'PFG', 'INTU', 'ADBE', 'ATI', 'PLD', 'IFF', 'GM', 'DUK', 'MHK', 'TGNA', 'CLX', 'LYB', 'XOM', 'UAA', 'LEG', 'KMX', 'NBL', 'CINF', 'ROST', 'MCO', 'UNH', 'WU', 'NTAP', 'MET', 'GIS', 'CCL', 'OMC', 'NSC', 'VAR', 'DE', 'AIV', 'NOV', 'STI', 'LOW', 'DIS', 'MSFT', 'GOOGL', 'GWW', 'ETFC', 'T', 'ADSK', 'GS', 'AVY', 'WMT', 'AKAM', 'EMC', 'KMB', 'GPS', 'SNA', 'URBN', 'HSY', 'NLSN', 'MAR', 'MO', 'UNP', 'AZO', 'DG', 'SRE', 'AVGO', 'CHRW', 'BLK', 'FB', 'RL', 'SO', 'LHX', 'ALXN', 'ZION', 'GNW', 'EXC', 'PHM', 'ED', 'BKR', 'WMB', 'ABBV', 'ESS', 'HST', 'TIF', 'YUM', 'ADS', 'ORCL', 'MAC', 'PVH', 'HAS', 'NVDA', 'TRIP', 'CF', 'HAL', 'HAR', 'NI', 'PPL', 'GAS', 'ES', 'NDAQ', 'ORLY', 'AIZ', 'BIIB', 'FTR', 'AES', 'NRG', 'PRGO', 'DOV', 'JEF', 'DTE', 'ADP', 'TSCO', 'CNP', 'RCL', 'VFC', 'OXY', 'TDC', 'DVN', 'COG', 'IQV', 'CTXS', 'MS', 'ECL', 'CMS', 'EL', 'APTV', 'IPG', 'AEP', 'TSN', 'LIN', 'R', 'DGX', 'BMY', 'EQT', 'REGN', 'MPC', 'ROP', 'CMCSA', 'AAPL', 'WYNN', 'OI', 'NFLX', 'CAT', 'GRMN', 'AVP', 'UPS', 'HP', 'VRTX', 'CPRI', 'PM', 'WAT', 'CTAS', 'COST', 'KIM', 'WHR', 'ANTM', 'DAL', 'MNST', 'TRV', 'TAP', 'OKE', 'BWA', 'MAS', 'COL', 'L', 'EMN', 'CTSH', 'WDC', 'AVB', 'IVZ', 'HBAN', 'XEL', 'PDCO', 'AMG', 'D', 'STT', 'SEE', 'VTR', 'K', 'LH', 'CRM', 'ZTS', 'SRCL', 'TXN', 'NE', 'PAYX', 'CVS', 'ADI', 'MNK', 'APA', 'JNJ', 'V', 'BA', 'PNW', 'AN', 'MLM', 'WBA', 'MRK', 'XLNX', 'TMO', 'PBI', 'KO', 'IRM', 'XYL', 'MAT', 'XRAY', 'QCOM', 'PEG', 'USB', 'CTL', 'BEN', 'ETN', 'TPR', 'PG', 'CVX', 'ABC', 'CI', 'BAX', 'PGR', 'NBR', 'CL', 'AMGN', 'UHS', 'CBRE', 'PWR', 'NKE', 'TJX', 'MCHP', 'DVA', 'MDLZ', 'DNR', 'ROK', 'RF', 'INTC', 'COV', 'HRL', 'PBCT', 'HD', 'KMI', 'FSLR', 'PEAK', 'NWL', 'FTI', 'CSX', 'SLB', 'TGT', 'LUV', 'HON', 'MU', 'FISV', 'AIG', 'CMA', 'GLW', 'NEE', 'RTN', 'SWK', 'EFX', 'ABT', 'TFC', 'MKC', 'LEN', 'BSX', 'MTB', 'SCHW', 'NTRS', 'ACN', 'KLAC', 'LB', 'NEM', 'DLTR', 'BKNG', 'SWN', 'AMAT', 'EXPD', 'MUR', 'QEP', 'HOG', 'PKI', 'BXP', 'PH', 'HPQ', 'DFS', 'POM', 'GILD', 'MCD', 'AFL', 'GL', 'PEP', 'FE', 'J', 'CNX', 'SYY', 'FDX', 'CME', 'EIX', 'PNR', 'FAST', 'AMCR', 'FFIV', 'XRX', 'VMC', 'EMR', 'IP', 'LMT', 'MMC', 'SYK', 'COP', 'KSU', 'RHI', 'BBY', 'MMM', 'PRU', 'EQR', 'LRCX', 'PSA', 'DHI', 'TEL', 'VZ', 'MDT', 'FLR', 'NAVI', 'TXT', 'GME', 'WM', 'CCI', 'JWN', 'PFE', 'LLY', 'ADM', 'SBUX', 'CMI', 'SPG', 'FOSL', 'HOT', 'GE', 'F', 'BLL', 'AMP', 'CB', 'MRO', 'GT', 'PXD', 'AMZN', 'FIS', 'JCI', 'ALLE', 'DRI', 'CSCO', 'MSI', 'HIG', 'XEC', 'ALL', 'ITW', 'CHK', 'ZBH', 'VNO', 'COF']",
features,"['Close', 'Volume']",
model,"RandomForestRegressor(n_jobs=-1, random_state=407)",
hist_depth,3,
train_depth,3,
start_date,2015-01-01,2015-01-01
end_date,2019-12-01,2019-12-01
allocation_builder,<function fixed_long_short at 0x7fcdd8f5f200>,
params,"{'long': 20, 'short': 0}",
blacklist,set(),set()
