,long,short
2015-01-01,"{'COV': 0.0, 'NBR': -0.10217486498321422, 'GAS': 0.09219858156028368, 'CHK': -0.007477642551508026, 'KR': 0.07724137931034478, 'HAR': 0.02105211038741824, 'WYNN': -0.004346499923745564, 'HAS': -0.001871101871101942, 'POM': -0.04761930187070735, 'YUM': -0.008145766345123161, 'AKAM': -0.08380592312539384, 'XRAY': -0.04016703121893012, 'IFF': 0.04624340949033385, 'ROK': -0.026860547308896258, 'MDLZ': -0.03251291400790024}","{'NE': 0.013380128709913971, 'SWN': 0.08490217792543377, 'TT': -4.333333333333334}"
2015-02-01,"{'COV': 0.0, 'NBR': 0.09956631731116727, 'GNW': 0.10398860398860406, 'POM': 0.03529430387539091, 'DNR': 0.18805432778151793, 'GAS': 0.01935483870967742, 'RF': 0.09466666666666677, 'AVP': 0.10540540540540531, 'IPG': 0.12123039806996391, 'PRGO': 0.017877017250973997, 'LNC': 0.14469525959367954, 'RL': -0.17442331040064743, 'HAR': -0.02061805678010932, 'DHR': 0.058666017526777116, 'CHK': -0.14723806487114738}","{'MUR': -0.10921870775885371, 'TIF': -0.018487394957983284, 'TT': 0.75}"
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'NBR': 0.07046471286405558, 'HPQ': -0.09567901234567902, 'CHK': -0.1510792017706267, 'GPC': -0.024593172641624923, 'XEC': 0.049269550272128294, 'APA': -0.07838726423256621, 'UNP': -0.0993619816100582, 'FOSL': -0.03758608614450798, 'CA': 0.002751977984176068, 'NRG': 0.050337078651685435, 'MKC': 0.022973368451858253, 'DO': -0.12536890255010616, 'AVB': 0.041996220340169386}","{'DIS': -0.005140859551717046, 'PBCT': -0.0032894736842104563, 'BKNG': 0.05946273480105022}"
2015-04-01,"{'TT': -0.8125, 'NBR': 0.2154344105336293, 'CHK': 0.09781863367873672, 'COV': 0.0, 'POM': -0.028169192025537096, 'DNR': 0.1970052724077329, 'CVS': -0.029408500721340648, 'FMC': 0.03480530780944097, 'GAS': 0.0, 'ABBV': 0.11481081081081086, 'WYNN': -0.11931666518373518, 'GNW': 0.20741758241758226, 'MNST': -0.011678200692041504, 'TSCO': 0.013915243516761652, 'OI': 0.024486226497595045}","{'BIIB': 0.11642249527410203, 'BKNG': -0.06341065292096215, 'HOT': -0.003205128205128205}"
2015-05-01,"{'TT': 0.0, 'POM': 0.10144993478326803, 'AMAT': 0.014762165117550552, 'BLK': -0.002034237786749217, 'NBR': -0.11143995287120942, 'RCL': 0.12244224422442235, 'PVH': 0.006688639007367175, 'TEL': 0.03564257028112454, 'BIIB': 0.051573426573426645, 'CHRW': -0.046075683251576655, 'EW': 0.028315243039169317, 'FIS': 0.0, 'DHI': 0.0254590984974958, 'NBL': -0.13444658531363735, 'GLW': 0.0010893246187363603}","{'HBAN': -0.015384615384615448, 'HOT': 0.13738019169329074, 'BKNG': 0.061729976383941176}"
2015-06-01,"{'AVP': -0.07044410413476263, 'NBR': -0.017679837092929716, 'DNR': -0.13351260690572886, 'FCX': -0.05733824302998421, 'CNX': -0.21818181818181828, 'CPRI': -0.10408684546615568, 'BLK': -0.04913204236385288, 'NWSA': -0.039857651245551635, 'SWN': -0.11453058044409821, 'CHK': -0.2083628632175762, 'APA': -0.03769317753486619, 'FTR': -0.04624376796395898, 'QEP': -0.020640103092225293, 'MRO': -0.025386751289170985, 'GAS': -0.015873015873015872}","{'EMC': -0.24637561151722506, 'BKNG': 0.01927597955706994, 'COV': -0.0}"
2015-07-01,"{'AVP': -0.10147299509001638, 'POM': -0.014705947015499687, 'BLK': -0.03908922114726864, 'CHK': -0.22678571428571428, 'MU': -0.02834645669291334, 'DNR': -0.37953631454985337, 'CNX': -0.23692992213570632, 'NBR': -0.19263392137259325, 'NWSA': 0.0, 'BIIB': -0.21928879310344834, 'JPM': 0.005878401074907649, 'NEM': -0.26166044776119407, 'IRM': -0.029130632680928567, 'NE': -0.19671525468626927, 'SHW': 0.005785407071898838}","{'NTAP': 0.02944269190325972, 'EMC': -0.08046023813120214, 'TT': 0.5714285714285715}"
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'BIIB': -0.07189460868479372, 'NBR': 0.013172092265722078, 'CHK': -0.08761682242990654, 'FCX': -0.08629893238434169, 'POM': 0.029848648142074042, 'NE': 0.10714285714285714, 'RIG': 0.09452277115013355, 'QEP': 0.027052482863272352, 'CNX': -0.06911764705882349, 'AVP': -0.07468123861566486, 'BLK': -0.09525905858449032, 'CI': -0.0234044030835475, 'ADS': -0.06568980029076436}","{'EMC': 0.009999897155668633, 'CMG': 0.04500517842011115, 'BKNG': 0.0010000880077446815}"
2015-09-01,"{'POM': -0.014490681157347847, 'BIIB': -0.0014030524946958625, 'NBR': -0.14076652130157663, 'CHK': -0.034255599472990776, 'DNR': -0.41486810551558756, 'GAS': -0.084, 'HAR': 0.0, 'WAT': -0.007556040634707461, 'FB': 0.035118019573978254, 'MNK': -0.24142840194566387, 'BLK': 0.012757756793216429, 'LEG': -0.0463791700569569, 'GS': -0.05684951598709298, 'FDX': -0.025418298326806647, 'AMG': -0.06168996547625789}","{'MU': 0.0518987341772152, 'AMCR': -0.02119205298013247, 'TT': 0.8125}"
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'POM': 0.0, 'NBR': 0.038272605875620015, 'BIIB': -0.005068666735162225, 'AVP': 0.23510971786833856, 'COV': 0.0, 'CNX': -0.3284848484848485, 'VRTX': 0.20872093023255806, 'CHK': -0.01925722145804677, 'GAS': 0.021834061135371178, 'AON': 0.054742353921218546, 'PNW': -0.00036670333700029373, 'HAR': 0.04838765298416105, 'MAS': 0.14799331103678925}","{'SWN': 0.142857142857143, 'MRO': -0.16418918918918915, 'AMCR': -0.0038910505836576197}"
