,long,short
2015-01-01,"{'COV': 0.0, 'HAR': 0.02105211038741824, 'EMC': -0.0327865167276427, 'GAS': 0.09219858156028368, 'ROP': -0.013158764795344712, 'CTSH': 0.02340676632572773, 'LM': 0.0279193441169953, 'PSA': 0.08360655737704918, 'WYNN': -0.004346499923745564, 'AVB': 0.0543896594292352, 'KR': 0.07724137931034478, 'FITB': -0.15228720324261721, 'VRSN': -0.04805172112528394, 'CSX': -0.0778863775198534, 'NAVI': -0.0910186859553948, 'NEM': 0.3484848484848485, 'TXN': 0.0041027855754696115, 'BMY': 0.014092777451556054, 'FFIV': -0.15259641664136042, 'CHK': -0.007477642551508026}",{}
2015-02-01,"{'COV': 0.0, 'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'EMC': 0.015872843127118823, 'NBR': 0.09956631731116727, 'DISCA': 0.10768175582990387, 'GWW': 0.018150388936905796, 'MU': 0.04854700854700861, 'HAR': -0.02061805678010932, 'BLK': 0.08482458800930125, 'BKNG': 0.22280632411067194, 'NBL': -0.027522935779816446, 'VAR': 0.009534422981674047, 'AVB': -0.026188835286009533, 'INTU': 0.11567164179104478, 'CPB': 0.019994873109459143, 'EXC': -0.04947117024906173, 'HST': -0.0835164835164835, 'AMG': 0.05558629709743957, 'MOS': 0.08881278538812787}",{}
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'CHK': -0.1510792017706267, 'EMC': 0.015872843127118823, 'GPC': -0.024593172641624923, 'DUK': -0.021696891191709786, 'THC': 0.07141311404457903, 'PNW': -0.002813731007315807, 'WFC': -0.0072005236744490135, 'STX': -0.15004472271914135, 'UNP': -0.0993619816100582, 'NRG': 0.050337078651685435, 'URBN': 0.17291880781089405, 'FOSL': -0.03758608614450798, 'XEL': -0.0033795201081446916, 'DTE': -0.006122144243691154, 'AIZ': 0.002201834862385274, 'DISCK': -0.03691604050963734, 'HPQ': -0.09567901234567902, 'VTR': -0.012832550860719879}",{}
2015-04-01,"{'TT': -0.8125, 'COV': 0.0, 'NFLX': 0.33299798792756535, 'DNR': 0.1970052724077329, 'GNW': 0.20741758241758226, 'EMN': 0.10516542876434835, 'MAT': 0.2328148519819368, 'POM': -0.028169192025537096, 'NEM': 0.21332670313276972, 'ADSK': -0.014736477115117916, 'CHK': 0.09781863367873672, 'BSX': 0.003943661971831002, 'FOSL': 0.020165208940719277, 'OI': 0.024486226497595045, 'PM': 0.10880557977332174, 'HPQ': 0.0350584307178631, 'FMC': 0.034965034965034995, 'NTAP': 0.028580603725112414, 'AET': 0.004288917048445245, 'PBI': -0.03867885024636752}",{}
2015-05-01,"{'COV': 0.3333333333333334, 'AMCR': 0.0, 'CSC': 0.0, 'POM': 0.10144993478326803, 'CHRW': -0.046075683251576655, 'AMAT': 0.014762165117550552, 'IFF': 0.030839133797370435, 'BIIB': 0.051573426573426645, 'JWN': -0.03211776513884245, 'RCL': 0.12244224422442235, 'VTR': -0.03411764705882355, 'TEL': 0.03564257028112454, 'MSI': -0.01863124884707615, 'EW': 0.028315243039169317, 'FIS': 0.0, 'VLO': 0.0455130957492487, 'DHI': 0.0254590984974958, 'GLW': 0.0010893246187363603, 'MDT': 0.031202665858830695, 'HSY': 0.011567807039133616}",{}
2015-06-01,"{'COV': 0.0, 'AMCR': 0.0, 'CSC': 0.0, 'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'FCX': -0.05733824302998421, 'QEP': -0.020640103092225293, 'BIIB': 0.012710908315992663, 'NBR': -0.017679837092929716, 'GNW': -0.041772151898734185, 'CNX': -0.21818181818181828, 'SYK': -0.00784790538299982, 'CHK': -0.2083628632175762, 'MCO': -0.0037350108118733585, 'HES': -0.0008238589553467978, 'MRO': -0.025386751289170985, 'CSX': -0.04626675175494573, 'CTL': -0.1162005785920926, 'NWSA': -0.039857651245551635, 'PPL': -0.07799999999999997}",{}
2015-07-01,"{'NBR': -0.19263392137259325, 'CHK': -0.22678571428571428, 'NEM': -0.26166044776119407, 'IRM': -0.029130632680928567, 'MU': -0.02834645669291334, 'SWN': -0.18169819621645397, 'NE': -0.19671525468626927, 'CSCO': 0.03637141634574231, 'PPL': 0.07241379310344827, 'CNX': -0.23692992213570632, 'NRG': -0.017249417249417295, 'DNR': -0.37953631454985337, 'AVP': -0.10147299509001638, 'AMAT': -0.10207515423443617, 'AVGO': -0.06897140418267189, 'JNPR': 0.0798640611724725, 'POM': -0.014705947015499687, 'MNK': 0.03810401138933085, 'NWSA': 0.0, 'DO': -0.14691081088513408}",{}
2015-08-01,"{'TT': 4.333333333333334, 'NBR': 0.013172092265722078, 'DNR': 0.13221329437545645, 'BIIB': -0.07189460868479372, 'MON': -0.0397285868816992, 'FB': -0.043836202288035864, 'POM': 0.029848648142074042, 'CHK': -0.08761682242990654, 'CI': -0.0234044030835475, 'COV': 0.0, 'LIN': -0.07318030213851279, 'CPRI': 0.04975845410628025, 'HUM': 0.0015885623510722862, 'GILD': -0.11338090118268017, 'ORCL': -0.0716603569497025, 'FDX': -0.12163497159792551, 'TDC': -0.211916958748989, 'HAL': -0.042830035239902364, 'URI': 0.04318386999699075, 'XYL': -0.055452292441140104}",{}
2015-09-01,"{'COV': 0.0, 'POM': -0.014490681157347847, 'HAR': 0.0, 'DNR': -0.41486810551558756, 'FB': 0.035118019573978254, 'LH': -0.0624891961970614, 'REGN': -0.06839712391596073, 'FFIV': -0.024924216908049916, 'WAT': -0.007556040634707461, 'MNK': -0.24142840194566387, 'TMO': -0.004630395237307775, 'XRX': -0.016688625384277515, 'WYNN': -0.27127172918572734, 'BIIB': -0.0014030524946958625, 'AON': -0.03095403095403087, 'AMZN': 0.02554393556917899, 'UHS': -0.07366593705185301, 'MET': -0.02709427702515908, 'AVB': 0.07965748003166147, 'BDX': -0.037936384794414274}",{}
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'REGN': 0.20124566280899117, 'AVP': 0.23510971786833856, 'NBR': 0.038272605875620015, 'AMZN': 0.22485322896281795, 'GOOG': 0.16838437135295944, 'VRTX': 0.20872093023255806, 'HAL': 0.06989748369058714, 'FB': 0.13237090505274848, 'ISRG': 0.07956694710754574, 'AMT': 0.16236116310994642, 'GOOGL': 0.1558924036743266, 'SPGI': 0.07171606293450433, 'GD': 0.08199773352760224, 'SRCL': -0.13356653340948035, 'PRGO': -0.008082146406094726, 'IFF': 0.11518435872914679, 'SYK': 0.01190075221735716, 'EFX': 0.09599477579451467}",{}
