,long,short
2015-01-01,"{'GAS': 0.09219858156028368, 'COV': 0.0, 'CTSH': 0.02340676632572773, 'AVB': 0.0543896594292352, 'LM': 0.0279193441169953, 'ROP': -0.013158764795344712, 'FITB': -0.15228720324261721, 'VRSN': -0.04805172112528394, 'CSX': -0.0778863775198534, 'KR': 0.07724137931034478, 'IPG': -0.04395604395604384, 'LEG': -0.0002808199943835442, 'BEN': -0.07745076344323966, 'PSA': 0.08360655737704918, 'NOC': 0.05841620626151018, 'ABBV': -0.070677570093458, 'CHK': -0.007477642551508026, 'BWA': -0.02222222222222227, 'WYNN': -0.004346499923745564, 'CINF': -0.028734321550741116, 'YUM': -0.008145766345123161, 'NAVI': -0.0910186859553948, 'HAS': -0.001871101871101942, 'NKE': -0.044479213232007195, 'NEM': 0.3484848484848485, 'AIZ': -0.07301796604582166, 'PNC': -0.07434384026120812, 'CF': 0.11348161597821152, 'DNR': -0.14391177307165207, 'FFIV': -0.15259641664136042, 'TEL': 0.04201235657546342, 'PNW': 0.031916769529183604, 'XRAY': -0.040255081705858974, 'ROK': -0.026860547308896258, 'ORCL': -0.0668928744546776, 'BMY': 0.014092777451556054, 'KLAC': -0.12958395000822237, 'ADBE': -0.03535075653370024, 'MYL': -0.05995755217545102, 'LYB': -0.010687022900763267, 'LRCX': -0.042916093535075715, 'AXP': -0.13138085156433782, 'GD': -0.03364040138180625, 'SRCL': -0.0016728765873317533, 'ACN': -0.06292834890965729}",{}
2015-02-01,"{'COV': 0.0, 'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'NBR': 0.09956631731116727, 'HAR': -0.02061805678010932, 'EMC': 0.015872843127118823, 'MU': 0.04854700854700861, 'GWW': 0.018150388936905796, 'DISCA': 0.10768175582990387, 'BLK': 0.08482458800930125, 'HST': -0.0835164835164835, 'AVP': 0.10540540540540531, 'VAR': 0.009534422981674047, 'EIX': -0.055654338549075436, 'ADS': -0.037418556400830014, 'FTI': 0.052129688493324874, 'RF': 0.09466666666666677, 'LEN': 0.1155176389209132, 'XRAY': 0.055877483443708666, 'GL': 0.06407035175879403, 'TJX': 0.04674796747967477, 'AMCR': 0.04182509505703434, 'EQR': -0.008908685968819531, 'VTR': -0.06524283206553541, 'AAPL': 0.09247590808005934, 'AVB': -0.026188835286009533, 'PCG': -0.08697268165768443, 'ED': -0.0794912559618442, 'CSX': 0.029993408042188533, 'WFC': 0.05672123587733459, 'CTAS': 0.05961331901181522, 'EXC': -0.04947117024906173, 'PGR': 0.04673321234119788, 'TFC': 0.07908847184986605, 'LB': 0.0898808626149901, 'INTU': 0.11567164179104478, 'GIS': 0.02167396818077023, 'MCO': 0.07195179584120986, 'WBA': 0.14205607476635498, 'MOS': 0.08881278538812787, 'T': 0.03769045709703279, 'NOC': 0.05792068893673174, 'NVDA': 0.14615797958087046, 'DG': 0.08164235890932159, 'MCHP': 0.14282159741229167}",{}
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'EMC': 0.015872843127118823, 'HPQ': -0.09567901234567902, 'GPC': -0.024593172641624923, 'DUK': -0.021696891191709786, 'STX': -0.15004472271914135, 'CHK': -0.1510792017706267, 'THC': 0.07141311404457903, 'WFC': -0.0072005236744490135, 'UNP': -0.0993619816100582, 'FOSL': -0.03758608614450798, 'AEE': 0.007607776838545957, 'CA': 0.002751977984176068, 'URBN': 0.17291880781089405, 'PNW': -0.002813731007315807, 'DTE': -0.006122144243691154, 'GNW': -0.05677419354838715, 'DISCK': -0.03691604050963734, 'TWX': 0.03417023882424975, 'AIZ': 0.002201834862385274, 'VTR': -0.012832550860719879, 'SO': -0.03320312500000013, 'PAYX': -0.006641366223908777, 'XEL': -0.0033795201081446916, 'BDX': -0.017353418992763214, 'ANTM': 0.05886708626434645, 'DD': -0.019280426923739102, 'DGX': 0.09340394800192574, 'WEC': -0.025322503583373204, 'NRG': 0.050337078651685435, 'BAC': -0.021648044692737463, 'CPRI': -0.025348354580492054, 'AVB': 0.042017401145929105, 'PPG': -0.04177497215001857, 'GM': 0.013536379018612472, 'ALXN': -0.03903737384939554, 'DLTR': 0.020754716981132147, 'ETR': -0.021354001898133523, 'XEC': 0.049269550272128294, 'MTB': 0.049612258245351794, 'AVY': -0.010008340283569724, 'CMS': -0.0043333333333333, 'VMC': 0.009380863039399624, 'SRE': 0.013963128613504976}",{}
2015-04-01,"{'TT': -0.8125, 'NFLX': 0.33299798792756535, 'DNR': 0.1970052724077329, 'POM': -0.028169192025537096, 'CHK': 0.09781863367873672, 'NEM': 0.21332670313276972, 'EMN': 0.10516542876434835, 'GNW': 0.20741758241758226, 'FCX': 0.22204037097654122, 'MAT': 0.2328148519819368, 'GAS': 0.0, 'ADSK': -0.014736477115117916, 'HPQ': 0.0350584307178631, 'FAST': 0.038939051918735965, 'FMC': 0.034965034965034995, 'FOSL': 0.020165208940719277, 'MNST': -0.011678200692041504, 'PM': 0.10880557977332174, 'ETR': -0.0016202203499676186, 'BLK': -0.0015734650848097682, 'BSX': 0.003943661971831002, 'AET': 0.004288917048445245, 'HES': 0.12283820914821403, 'AEP': 0.011531069827033934, 'LRCX': 0.07065217391304343, 'APA': 0.1266034578918015, 'GILD': 0.023922311700615775, 'OI': 0.024486226497595045, 'CF': 0.009590792838874589, 'FTR': -0.03516146651369793, 'GLW': -0.07489878542510123, 'ANTM': -0.02046250875963551, 'D': 0.008061689449702083, 'WYNN': -0.11931666518373518, 'LM': -0.04206418039895919, 'RTX': -0.030961182994454793, 'NOV': 0.0841222030981068, 'NOC': -0.03777943874430913, 'OXY': 0.07923736225292988, 'ABBV': 0.11481081081081086, 'AEE': -0.030192899077439342, 'DHR': -0.03428706550011813, 'ROK': 0.032179186228482065, 'MON': -0.00610500610500613, 'FIS': -0.08022064617809303}",{}
2015-05-01,"{'COV': 0.3333333333333334, 'AMCR': 0.0, 'CSC': 0.0, 'POM': 0.10144993478326803, 'RCL': 0.12244224422442235, 'CHRW': -0.046075683251576655, 'BIIB': 0.051573426573426645, 'AMAT': 0.014762165117550552, 'MSI': -0.01863124884707615, 'EW': 0.028315243039169317, 'DHI': 0.0254590984974958, 'JWN': -0.03211776513884245, 'VTR': -0.03411764705882355, 'MNST': -0.07256830601092897, 'TEL': 0.03564257028112454, 'NFX': -0.03422733077905482, 'VLO': 0.0455130957492487, 'FIS': 0.0, 'BK': 0.017689906347554626, 'HSY': 0.011567807039133616, 'CAH': 0.04298960382129795, 'IFF': 0.030839133797370435, 'GLW': 0.0010893246187363603, 'XRX': -0.011342155009451823, 'ITW': -0.00252951096121409, 'WELL': -0.01619870410367181, 'ICE': 0.05587318087318102, 'CTSH': 0.10340546293011703, 'BBBY': 0.0111147433801896, 'BBY': -0.0016644474034620744, 'QCOM': 0.019992922859164815, 'PGR': 0.022020725388601104, 'ESS': -0.003387533875338783, 'AVP': -0.17070063694267515, 'IP': -0.03174603174603164, 'ANDV': 0.035182849936948375, 'MCHP': 0.029015784586815228, 'PPG': 0.039026313196018604, 'CBRE': -0.010351966873705968, 'EFX': 0.03029642545771579, 'MO': 0.021409921671018285, 'VNO': -0.03398130286392649, 'KR': 0.05955414012738868, 'MDT': 0.031202665858830695, 'NKE': 0.023415682062298677}",{}
2015-06-01,"{'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'BIIB': 0.012710908315992663, 'CNX': -0.21818181818181828, 'FCX': -0.05733824302998421, 'NBR': -0.017679837092929716, 'GNW': -0.041772151898734185, 'QEP': -0.020640103092225293, 'MCO': -0.0037350108118733585, 'CHK': -0.2083628632175762, 'HES': -0.0008238589553467978, 'HOT': 0.02962962962962963, 'ROST': 0.006730351715154042, 'BLK': -0.04913204236385288, 'URBN': 0.010976314269208625, 'MRO': -0.025386751289170985, 'COP': -0.047231558464532135, 'F': -0.02104377104377104, 'TT': 0.0, 'WHR': -0.06273525721455457, 'XOM': -0.024044032444959597, 'PPL': -0.07799999999999997, 'CPRI': -0.10408684546615568, 'NOV': -0.008346145398638316, 'CTL': -0.1162005785920926, 'CSX': -0.04626675175494573, 'COL': 0.0013960909453530172, 'EXC': -0.07591344448385955, 'FB': 0.0815889029003783, 'PXD': -0.0625520110957003, 'SYK': -0.00784790538299982, 'EXPE': 0.01796173369777434, 'ABC': -0.0573112979607615, 'CF': 0.014760837070254093, 'NWSA': -0.039857651245551635, 'YUM': 0.002415875754961183, 'CMG': -0.016292418009463232, 'WELL': -0.06790799561883896, 'AMAT': -0.040606388738494856, 'POM': -0.055553825230219823, 'LEN': 0.08893805309734504, 'FTI': -0.004132231404958639, 'GOOG': -0.030328433838186206, 'VFC': -0.008138528138528119, 'RL': 0.015822784810126535}",{}
2015-07-01,"{'NEM': -0.26166044776119407, 'NBR': -0.19263392137259325, 'CHK': -0.22678571428571428, 'MU': -0.02834645669291334, 'IRM': -0.029130632680928567, 'AVP': -0.10147299509001638, 'CSCO': 0.03637141634574231, 'PPL': 0.07241379310344827, 'SWN': -0.18169819621645397, 'CNX': -0.23692992213570632, 'LUV': 0.06912585244885319, 'DNR': -0.37953631454985337, 'POM': -0.014705947015499687, 'NRG': -0.017249417249417295, 'COV': 0.0, 'NE': -0.19671525468626927, 'JNPR': 0.0798640611724725, 'NWSA': 0.0, 'BIIB': -0.21928879310344834, 'AVGO': -0.06897140418267189, 'MAT': -0.10535481062255107, 'AVY': -0.008482223425374462, 'HRB': 0.11300813008130071, 'MNK': 0.03810401138933085, 'XRX': 0.029292107404393915, 'EBAY': 0.09569377990430632, 'FCX': -0.3657718120805369, 'AMAT': -0.10207515423443617, 'NKE': 0.05738347042694868, 'CI': -0.12048413717219883, 'JPM': 0.00610583446404341, 'RIG': -0.170731861597824, 'NOV': -0.1269665411034789, 'PXD': -0.07976465331049383, 'COP': -0.17071362372567192, 'HUM': -0.05094166531757594, 'DUK': 0.048312611012433504, 'INTC': -0.050338091660405704, 'GWW': -0.0410294666169339, 'MON': -0.04597378277153555, 'AMG': -0.05786128248270703, 'DO': -0.14691081088513408, 'ESS': 0.04947663753102399, 'MRO': -0.20999187652315196, 'GNW': -0.08604954367666234}",{}
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'NBR': 0.013172092265722078, 'BIIB': -0.07189460868479372, 'CHK': -0.08761682242990654, 'CI': -0.0234044030835475, 'POM': 0.029848648142074042, 'MON': -0.0397285868816992, 'FB': -0.043836202288035864, 'COV': 0.0, 'CPRI': 0.04975845410628025, 'NAVI': -0.18938775510204084, 'HUM': 0.0015885623510722862, 'FCX': -0.08629893238434169, 'GILD': -0.11338090118268017, 'HAR': -0.1285713413032456, 'ORCL': -0.0716603569497025, 'PXD': -0.01849275836674569, 'NE': 0.10714285714285714, 'GIS': -0.026251025430680912, 'URI': 0.04318386999699075, 'WFC': -0.07566462167689153, 'LIN': -0.07318030213851279, 'BEN': -0.10729729729729727, 'TRIP': -0.11954674220963171, 'L': -0.03031958481289264, 'XLNX': 0.016038492381716157, 'NUE': -0.01639777836551189, 'CBRE': -0.15603584607274631, 'TDC': -0.211916958748989, 'PRGO': -0.04670947911520935, 'MSFT': -0.06749764816556925, 'SLB': -0.05070339976553332, 'SEE': -0.035721493440968644, 'STX': 0.02269692923898516, 'XOM': -0.03499136984151886, 'MET': -0.09620497945371034, 'XYL': -0.055452292441140104, 'HAS': -0.05267690541122436, 'ROP': -0.03208128078817739, 'ADS': -0.06568980029076436, 'ITW': -0.05542259730444647, 'DE': -0.13461765748729465, 'HRL': 0.0399239543726236, 'AES': -0.06344696969696968}",{}
2015-09-01,"{'POM': -0.014490681157347847, 'COV': 0.0, 'NBR': -0.14076652130157663, 'DNR': -0.41486810551558756, 'BIIB': -0.0014030524946958625, 'HAR': 0.0, 'WAT': -0.007556040634707461, 'FB': 0.035118019573978254, 'REGN': -0.06839712391596073, 'GAS': -0.084, 'LH': -0.0624891961970614, 'WYNN': -0.27127172918572734, 'FFIV': -0.024924216908049916, 'XRX': -0.016688625384277515, 'HBAN': -0.0033594624860021683, 'AON': -0.03095403095403087, 'MNK': -0.24142840194566387, 'FDX': -0.025397052511088935, 'TMO': -0.004630395237307775, 'ROP': -0.01318267419962336, 'PRGO': -0.13188346804675238, 'CVS': -0.04138086135162495, 'GS': -0.05684951598709298, 'GILD': -0.03558073654390936, 'INTU': 0.06475543819942167, 'PWR': 0.02739726027397263, 'AMZN': 0.02554393556917899, 'NAVI': -0.09053497942386839, 'HUM': -0.0032809532032463777, 'R': -0.07761890866647224, 'PXD': 0.020829746944396516, 'AMG': -0.06168996547625789, 'BDX': -0.037936384794414274, 'BA': 0.021700776287932197, 'PEP': 0.04299707416359236, 'KO': 0.04663212435233164, 'IBM': 0.00042531473290232356, 'MET': -0.02709427702515908, 'SHW': -0.11526129502394339, 'DOV': -0.052218114602587754, 'ETR': 0.00987279286121124, 'HSY': 0.04134334054191579, 'CNX': -0.32976973684210525, 'UHS': -0.07366593705185301, 'KSU': 0.007323411292227788}",{}
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'COV': 0.0, 'REGN': 0.20124566280899117, 'POM': 0.0, 'VRTX': 0.20872093023255806, 'NBR': 0.038272605875620015, 'AMZN': 0.22485322896281795, 'LLY': -0.024327611839437727, 'HAR': 0.04838765298416105, 'HAL': 0.06989748369058714, 'SNA': 0.09783005771900333, 'GAS': 0.021834061135371178, 'SRCL': -0.13356653340948035, 'IFF': 0.11518435872914679, 'SPGI': 0.07171606293450433, 'RIG': 0.18399401645474953, 'ORCL': 0.07602862254025057, 'GD': 0.08199773352760224, 'CI': -0.004387595746263132, 'ISRG': 0.07956694710754574, 'PVH': -0.10665875136044313, 'EFX': 0.09599477579451467, 'WHR': 0.08780716857098136, 'SWK': 0.09322033898305085, 'GOOG': 0.16838437135295944, 'AMT': 0.16236116310994642, 'FB': 0.13237090505274848, 'NFX': 0.19364419364419352, 'OKE': 0.06311475409836077, 'ALLE': 0.12450450450450444, 'SYK': 0.01190075221735716, 'SHW': 0.197834784655213, 'ROK': 0.07629069385070693, 'HBAN': 0.03367003367003375, 'CNX': -0.3284848484848485, 'BKR': 0.0009121313469139902, 'TMO': 0.06589949499130718, 'PBI': 0.03820828164999607, 'MCK': -0.03231100045269357, 'UHS': -0.030679799773938296, 'CAG': 0.009733237202595644, 'CPRI': -0.0845771144278607, 'ROP': 0.18425701760125626, 'OI': 0.03580186365865622}",{}
