,long,short
2015-01-01,"{'GAS': 0.09219858156028368, 'COV': 0.0, 'HAR': 0.02105211038741824, 'ROP': -0.013141385458627808, 'PSA': 0.08360655737704918, 'NAVI': -0.0910186859553948, 'CTSH': 0.02340676632572773, 'CSX': -0.0778863775198534, 'LM': 0.0279193441169953, 'MDLZ': -0.03251291400790024, 'KR': 0.07724137931034478, 'FITB': -0.1523972602739726, 'CINF': -0.028734321550741116, 'PNC': -0.07434384026120812, 'ABBV': -0.070677570093458}","{'BIIB': -0.13510675533776703, 'PM': 0.016674683341349996, 'TT': -4.333333333333334}"
2015-02-01,"{'COV': 0.0, 'DNR': 0.18805432778151793, 'GNW': 0.10398860398860406, 'EMC': 0.015872843127118823, 'NBR': 0.09956631731116727, 'MU': 0.04854700854700861, 'DISCA': 0.10768175582990387, 'PRGO': 0.017877017250973997, 'GWW': 0.018150388936905796, 'BLK': 0.08482458800930125, 'RL': -0.17442331040064743, 'VAR': 0.009534422981674047, 'NBL': -0.027522935779816446, 'POM': 0.03529430387539091, 'RF': 0.09466666666666677}","{'TIF': -0.018487394957983284, 'TWX': -0.05042987296291534, 'TT': 0.75}"
2015-03-01,"{'TT': -0.8125, 'COV': 0.0, 'GPC': -0.024593172641624923, 'CHK': -0.1510792017706267, 'DUK': -0.021696891191709786, 'STX': -0.1499227202472952, 'AIZ': 0.002201834862385274, 'UNP': -0.0993619816100582, 'THC': 0.07141311404457903, 'DTE': -0.006122144243691154, 'PVH': 0.004561436852608475, 'NRG': 0.050337078651685435, 'EQT': 0.03599336964243437, 'WFC': -0.0072005236744490135, 'FOSL': -0.03758608614450798}","{'GAS': 0.1592356687898089, 'PEAK': -0.019123783031988775, 'TPR': 0.04116978989210664}"
2015-04-01,"{'TT': -0.8125, 'POM': -0.028169192025537096, 'NFLX': 0.33299798792756535, 'DNR': 0.1970052724077329, 'EMN': 0.10516542876434835, 'GNW': 0.20741758241758226, 'MAT': 0.2328148519819368, 'BSX': 0.003943661971831002, 'PM': 0.1089941640920014, 'NEM': 0.21332670313276972, 'CHK': 0.09781863367873672, 'FOSL': 0.020165208940719277, 'FMC': 0.03480530780944097, 'ADSK': -0.014736477115117916, 'COV': 0.0}","{'HAR': 0.0697681934803795, 'PBCT': -0.010708401976935667, 'HOT': -0.003205128205128205}"
2015-05-01,"{'POM': 0.10144993478326803, 'IFF': 0.03084462381089659, 'BIIB': 0.051573426573426645, 'JWN': -0.03211776513884245, 'AMAT': 0.014762165117550552, 'MSI': -0.01863124884707615, 'TEL': 0.03564257028112454, 'RCL': 0.12244224422442235, 'CHRW': -0.046075683251576655, 'FIS': 0.0, 'EW': 0.028315243039169317, 'DHI': 0.0254590984974958, 'GLW': 0.0010893246187363603, 'CTSH': 0.10340546293011703, 'BLK': -0.002034237786749217}","{'DNR': 0.14136361481200518, 'NBR': 0.11143995287120942, 'HOT': 0.13738019169329074}"
2015-06-01,"{'AVP': -0.07044410413476263, 'DNR': -0.13351260690572886, 'CHK': -0.2083628632175762, 'CNX': -0.21818181818181828, 'WHR': -0.06273525721455457, 'QEP': -0.020640103092225293, 'BIIB': 0.012710908315992663, 'HOT': 0.02962962962962963, 'FCX': -0.05733824302998421, 'GNW': -0.041772151898734185, 'HES': -0.0008238589553467978, 'NBR': -0.017679837092929716, 'POM': -0.055553825230219823, 'CSX': -0.04626675175494573, 'CTL': -0.1162005785920926}","{'EMC': -0.24637561151722506, 'JNPR': 0.04950900163666124, 'COV': -0.0}"
2015-07-01,"{'CHK': -0.22678571428571428, 'NEM': -0.26166044776119407, 'NBR': -0.19263392137259325, 'SWN': -0.18169819621645397, 'IRM': -0.029130632680928567, 'CSCO': 0.036502546689304034, 'PPL': 0.07241379310344827, 'DNR': -0.37953631454985337, 'MU': -0.02834645669291334, 'NE': -0.19671525468626927, 'AVP': -0.10147299509001638, 'NRG': -0.017249417249417295, 'DO': -0.14691081088513408, 'COV': 0.0, 'JNPR': 0.0798640611724725}","{'NTAP': 0.02944269190325972, 'PFE': -0.07444523979957045, 'TT': 0.5714285714285715}"
2015-08-01,"{'TT': 4.333333333333334, 'DNR': 0.13221329437545645, 'NBR': 0.013172092265722078, 'BIIB': -0.07189460868479372, 'FB': -0.043836202288035864, 'COV': 0.0, 'CHK': -0.08761682242990654, 'MON': -0.0397285868816992, 'CI': -0.0234044030835475, 'POM': 0.029848648142074042, 'HUM': 0.0015858631626642565, 'CPRI': 0.04975845410628025, 'HOT': 0.016, 'ORCL': -0.0716603569497025, 'LIN': -0.07318030213851279}","{'MU': 0.11821601289629229, 'NEM': 0.0012690355329948969, 'CMG': 0.04500517842011115}"
2015-09-01,"{'POM': -0.014490681157347847, 'HAR': 0.0, 'DNR': -0.41486810551558756, 'COV': 0.0, 'WAT': -0.007556040634707461, 'REGN': -0.06839712391596073, 'BIIB': -0.0014030524946958625, 'FFIV': -0.024924216908049916, 'FB': 0.035118019573978254, 'TMO': -0.004630395237307775, 'WYNN': -0.27127172918572734, 'NBR': -0.14076652130157663, 'LH': -0.0624891961970614, 'UHS': -0.07366593705185301, 'BDX': -0.037936384794414274}","{'HST': 0.07741027445460953, 'GRMN': 0.016576454668470856, 'TT': 0.8125}"
2015-10-01,"{'TT': 4.333333333333334, 'DNR': 0.39920948616600804, 'REGN': 0.20124566280899117, 'AMZN': 0.22485322896281795, 'NBR': 0.038272605875620015, 'GOOG': 0.16838437135295944, 'AVP': 0.23510971786833856, 'COV': 0.0, 'VRTX': 0.20872093023255806, 'SPGI': 0.07171606293450433, 'SWK': 0.09322033898305085, 'ISRG': 0.07956694710754574, 'HAL': 0.06989748369058714, 'HAR': 0.04838765298416105, 'GAS': 0.021834061135371178}","{'WYNN': -0.3091325150821718, 'TGNA': -0.20377655389457117, 'AMCR': -0.0038910505836576197}"
